FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.219     -19.75      203.352     19.75       203.352     -23.0       -16.5       67.42       339.22      16.5        23.0        339.22      67.42       -24.25      -19.25      -14.75      39.931      227.661     374.522     14.75       19.25       24.25       374.522     227.661     39.931      0.335       eq25
04X04       5.5         325.278     -20.75      156.495     20.75       156.495     -24.0       -17.0       56.247      274.154     17.0        24.0        274.154     56.247      -25.25      -20.75      -15.75      36.564      156.495     293.683     15.75       20.75       25.25       293.683     156.495     36.564      0.491       eq25
04X04       10.0        240.474     -21.25      130.376     21.25       130.376     -24.5       -18.5       54.551      193.195     18.5        24.5        193.195     54.551      -26.75      -20.75      -16.25      27.975      143.356     219.406     16.25       20.75       26.75       219.406     143.356     27.975      0.591       eq25
04X04       15.0        196.288     -22.75      102.585     22.75       102.585     -26.5       -19.5       39.599      159.147     19.5        26.5        159.147     39.599      -27.75      -21.25      -17.75      28.36       131.471     175.704     17.75       21.25       27.75       175.704     131.471     28.36       0.639       eq25
04X04       20.0        140.462     -23.75      75.443      23.75       75.443      -27.5       -21.0       30.86       108.954     21.0        27.5        108.954     30.86       -29.75      -22.25      -17.25      18.015      95.089      130.234     17.25       22.25       29.75       130.234     95.089      18.015      0.555       eq25
04X04       25.0        101.08      -24.75      55.614      24.75       55.614      -29.0       -21.5       21.162      81.943      21.5        29.0        81.943      21.162      -30.25      -24.75      -20.25      15.779      55.614      88.091      20.25       24.75       30.25       88.091      55.614      15.779      0.459       eq25
04X04       28.5        81.855      -25.75      43.04       25.75       43.04       -29.5       -23.0       18.596      61.908      23.0        29.5        61.908      18.596      -31.25      -26.25      -18.75      12.592      39.237      76.016      18.75       26.25       31.25       76.016      39.237      12.592      0.389       eq25
07X07       2.0         416.637     -31.75      210.864     31.75       210.864     -35.0       -29.0       76.123      324.124     29.0        35.0        324.124     76.123      -37.25      -31.25      -26.75      33.097      234.16      370.69      26.75       31.25       37.25       370.69      234.16      33.096      0.574       eq25
07X07       5.5         342.654     -33.25      166.324     33.25       166.324     -37.0       -30.0       56.073      267.711     30.0        37.0        267.711     56.073      -38.25      -32.25      -28.75      39.08       201.802     289.832     28.75       32.25       38.25       289.832     201.802     39.08       0.829       eq25
07X07       10.0        256.945     -34.75      130.192     34.75       130.192     -38.5       -31.5       50.487      200.374     31.5        38.5        200.374     50.487      -39.75      -35.25      -30.25      37.07       117.621     215.844     30.25       35.25       39.75       215.844     117.621     37.07       1.032       eq25
