FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         451.849     -20.25      214.066     20.25       214.066     -23.5       -17.0       70.358      364.971     17.0        23.5        364.971     70.358      -25.25      -20.25      -15.25      34.636      214.066     407.953     15.25       20.25       25.25       407.953     214.066     34.636      0.374       eq25
04X04       5.5         433.065     -20.75      214.53      20.75       214.53      -24.5       -17.0       68.264      363.344     17.0        24.5        363.344     68.264      -25.75      -20.25      -15.75      43.703      237.914     389.386     15.75       20.25       25.75       389.386     237.914     43.703      0.618       eq25
04X04       10.0        314.615     -21.75      158.708     21.75       158.708     -25.5       -18.0       55.828      262.034     18.0        25.5        262.034     55.828      -27.75      -23.25      -15.75      29.226      111.372     290.271     15.75       23.25       27.75       290.271     111.372     29.226      0.728       eq25
04X04       15.0        222.243     -22.75      115.954     22.75       115.954     -26.5       -19.0       44.39       184.979     19.0        26.5        184.979     44.39       -28.75      -22.25      -16.75      24.356      126.919     204.232     16.75       22.25       28.75       204.232     126.919     24.356      0.705       eq25
04X04       20.0        158.868     -23.75      85.341      23.75       85.341      -27.5       -20.0       34.862      132.554     20.0        27.5        132.554     34.862      -29.75      -24.25      -18.75      19.68       77.698      141.166     18.75       24.25       29.75       141.166     77.698      19.68       0.614       eq25
04X04       25.0        115.052     -25.25      58.018      25.25       58.018      -28.5       -21.5       27.277      92.907      21.5        28.5        92.907      27.277      -30.75      -25.25      -19.75      15.745      58.018      101.94      19.75       25.25       30.75       101.94      58.018      15.745      0.5         eq25
04X04       28.5        93.312      -25.75      49.293      25.75       49.293      -29.5       -22.5       21.205      73.522      22.5        29.5        73.522      21.205      -31.75      -26.75      -20.75      12.574      40.835      81.409      20.75       26.75       31.75       81.409      40.835      12.574      0.434       eq25
07X07       2.0         464.36      -32.25      210.084     32.25       210.084     -35.5       -28.5       72.052      373.985     28.5        35.5        373.985     72.052      -37.25      -31.75      -26.75      38.108      235.774     410.242     26.75       31.75       37.25       410.242     235.774     38.108      0.628       eq25
07X07       5.5         445.056     -33.25      206.698     33.25       206.698     -36.5       -29.5       82.304      352.361     29.5        36.5        352.361     82.304      -38.75      -33.25      -27.75      41.833      206.698     387.142     27.75       33.25       38.75       387.142     206.698     41.833      0.99        eq25
07X07       10.0        329.352     -34.75      160.01      34.75       160.01      -38.5       -31.0       62.146      260.189     31.0        38.5        260.189     62.146      -40.75      -34.25      -29.75      36.573      175.601     278.783     29.75       34.25       40.75       278.783     175.601     36.573      1.194       eq25
07X07       15.0        236.358     -36.25      123.037     36.25       123.037     -40.5       -33.0       46.978      182.669     33.0        40.5        182.669     46.978      -42.75      -36.25      -31.75      29.925      123.037     196.472     31.75       36.25       42.75       196.472     123.037     29.925      1.183       eq25
07X07       20.0        172.681     -38.25      87.682      38.25       87.682      -42.0       -34.5       39.61       135.293     34.5        42.0        135.293     39.61       -43.75      -38.25      -32.75      27.702      87.682      147.175     32.75       38.25       43.75       147.175     87.682      27.702      1.082       eq25
07X07       25.0        125.022     -40.25      61.841      40.25       61.841      -44.0       -36.5       28.926      95.722      36.5        44.0        95.722      28.926      -46.25      -40.75      -34.25      19.401      56.688      106.655     34.25       40.75       46.25       106.655     56.688      19.401      0.932       lt25
07X07       28.5        102.459     -41.25      52.95       41.25       52.95       -45.0       -37.5       25.895      79.37       37.5        45.0        79.37       25.895      -47.25      -41.75      -36.25      17.589      48.814      84.621      36.25       41.75       47.25       84.621      48.814      17.589      0.907       lt25
10X10       2.0         478.929     -47.75      222.346     47.75       222.346     -51.0       -44.5       84.015      357.939     44.5        51.0        357.939     84.015      -53.25      -47.75      -42.75      39.959      222.346     395.11      42.75       47.75       53.25       395.11      222.346     39.959      0.95        eq25
10X10       5.5         457.57      -49.25      221.132     49.25       221.132     -53.5       -46.0       72.153      338.471     46.0        53.5        338.471     72.153      -54.75      -49.25      -43.75      51.785      221.132     378.377     43.75       49.25       54.75       378.377     221.132     51.785      1.448       eq25
10X10       10.0        348.565     -51.75      169.038     51.75       169.038     -55.5       -48.5       72.154      252.737     48.5        55.5        252.737     72.154      -57.75      -52.25      -46.75      44.997      154.188     277.661     46.75       52.25       57.75       277.661     154.188     44.997      1.72        eq25
10X10       15.0        253.738     -54.75      118.863     54.75       118.863     -58.5       -51.0       54.739      184.732     51.0        58.5        184.732     54.739      -60.75      -54.25      -48.75      37.276      129.018     204.406     48.75       54.25       60.75       204.406     129.018     37.276      1.689       eq25
10X10       20.0        185.769     -57.25      90.864      57.25       90.864      -61.0       -54.0       44.954      131.081     54.0        61.0        131.081     44.954      -62.75      -56.25      -51.75      33.466      104.726     146.458     51.75       56.25       62.75       146.458     104.726     33.466      1.508       eq25
10X10       25.0        137.284     -60.25      64.701      60.25       64.701      -64.0       -56.5       33.257      97.447      56.5        64.0        97.447      33.257      -65.75      -60.25      -53.75      25.647      64.701      109.61      53.75       60.25       65.75       109.61      64.701      25.647      1.253       eq25
10X10       28.5        111.861     -61.75      55.204      61.75       55.204      -65.0       -58.5       31.9        77.88       58.5        65.0        77.88       31.9        -68.25      -62.75      -56.25      20.038      47.332      86.991      56.25       62.75       68.25       86.991      47.332      20.038      1.09        eq25
15X15       2.0         486.991     -71.75      210.52      71.75       210.52      -75.0       -69.0       83.71       318.241     69.0        75.0        318.241     83.71       -77.25      -72.75      -66.75      42.695      166.342     364.529     66.75       72.75       77.25       364.529     166.342     42.695      1.315       eq25
15X15       5.5         474.313     -74.25      205.057     74.25       205.057     -78.0       -71.0       81.541      314.218     71.0        78.0        314.218     81.541      -79.75      -73.25      -69.25      53.737      243.002     346.291     69.25       73.25       79.75       346.291     243.002     53.737      1.901       eq25
15X15       10.0        365.083     -78.25      151.382     78.25       151.382     -82.0       -74.5       68.036      239.629     74.5        82.0        239.629     68.036      -83.25      -78.75      -72.25      54.012      137.95      265.971     72.25       78.75       83.25       265.971     137.95      54.012      2.193       eq25
15X15       15.0        270.358     -82.25      115.361     82.25       115.361     -86.0       -78.5       57.529      175.574     78.5        86.0        175.574     57.529      -87.75      -82.75      -77.25      44.391      106.193     187.265     77.25       82.75       87.75       187.265     106.193     44.391      2.169       eq25
15X15       20.0        200.008     -86.25      87.23       86.25       87.23       -90.0       -82.5       46.693      128.822     82.5        90.0        128.822     46.693      -92.25      -87.75      -81.25      35.143      68.696      137.032     81.25       87.75       92.25       137.032     68.696      35.143      1.94        eq25
15X15       25.0        149.439     -90.25      66.41       90.25       66.41       -94.0       -86.5       37.213      95.651      86.5        94.0        95.651      37.213      -96.25      -90.75      -85.25      28.583      61.904      101.521     85.25       90.75       96.25       101.521     61.904      28.583      1.643       eq25
15X15       28.5        121.47      -92.75      56.383      92.75       56.383      -96.5       -90.0       32.551      74.113      90.0        96.5        74.113      32.551      -98.25      -91.75      -86.25      26.192      63.373      86.61       86.25       91.75       98.25       86.61       63.373      26.192      1.412       eq25
20X20       2.0         483.919     -95.75      195.746     95.75       195.746     -99.5       -93.0       70.074      289.716     93.0        99.5        289.716     70.074      -101.25     -95.25      -90.75      43.626      215.204     328.647     90.75       95.25       101.25      328.647     215.204     43.626      1.529       eq25
20X20       5.5         480.998     -99.25      192.868     99.25       192.868     -103.0      -96.0       80.662      289.803     96.0        103.0       289.803     80.662      -105.25     -98.25      -94.25      50.758      226.941     317.303     94.25       98.25       105.25      317.303     226.941     50.758      2.198       eq25
20X20       10.0        373.45      -104.25     149.659     104.25      149.659     -108.0      -101.0      71.284      218.178     101.0       108.0       218.178     71.284      -110.25     -103.75     -99.25      49.984      161.719     238.965     99.25       103.75      110.25      238.965     161.719     49.984      2.475       eq25
20X20       15.0        280.055     -109.75     112.497     109.75      112.497     -113.5      -106.5      59.265      160.13      106.5       113.5       160.13      59.265      -115.75     -110.25     -104.75     44.235      104.254     175.252     104.75      110.25      115.75      175.252     104.254     44.235      2.429       eq25
20X20       20.0        208.795     -115.25     84.448      115.25      84.448      -119.0      -111.5      47.541      121.014     111.5       119.0       121.014     47.541      -121.25     -115.25     -110.25     36.885      84.448      128.209     110.25      115.25      121.25      128.209     84.448      36.885      2.159       eq25
20X20       25.0        156.459     -120.75     63.255      120.75      63.255      -124.5      -117.0      37.493      89.383      117.0       124.5       89.383      37.493      -126.75     -121.25     -113.75     29.805      59.261      99.931      113.75      121.25      147.75      99.931      59.261      17.898      1.818       eq25
20X20       28.5        128.232     -124.25     52.699      124.25      52.699      -128.0      -121.0      31.892      71.08       121.0       128.0       71.08       31.892      -129.75     -124.25     -117.75     26.483      52.699      80.598      117.75      124.25      147.75      80.598      52.699      16.445      1.645       lt25
24X24       2.0         /
24X24       5.5         486.504     -120.25     177.84      120.25      177.84      -124.0      -117.0      76.06       267.259     117.0       124.0       267.259     76.06       -125.75     -120.75     -114.25     53.531      161.922     302.385     115.25      120.75      125.75      293.666     161.922     53.531      2.341       eq25
24X24       10.0        379.818     -126.25     139.065     126.25      139.065     -130.0      -122.5      68.188      209.752     122.5       130.0       209.752     68.188      -131.75     -126.75     -121.25     52.142      127.965     222.481     121.25      126.75      131.75      222.481     127.965     52.142      2.604       eq25
24X24       15.0        286.894     -132.75     107.755     132.75      107.755     -136.5      -129.5      58.671      151.016     129.5       136.5       151.016     58.671      -138.75     -133.75     -127.25     44.56       92.729      167.143     127.25      133.75      138.75      167.143     92.729      44.56       2.537       eq25
24X24       20.0        214.97      -139.25     83.099      139.25      83.099      -143.5      -136.0      45.301      112.464     136.0       143.5       112.464     45.301      -145.75     -139.25     -134.25     36.303      83.099      121.738     134.25      139.25      158.75      121.738     83.099      25.605      2.561       lt25
24X24       25.0        161.587     -146.25     59.836      146.25      59.836      -150.0      -143.0      36.426      81.522      143.0       150.0       81.522      36.426      -152.25     -146.75     -139.25     29.618      56.158      93.923      139.25      146.75      179.25      93.923      56.158      16.777      1.88        eq25
24X24       28.5        132.605     -150.75     48.135      150.75      48.135      -154.0      -146.5      31.817      69.478      146.5       154.0       69.478      31.817      -158.75     -151.75     -143.25     22.584      42.464      76.856      143.25      151.75      179.25      76.856      42.464      15.512      1.618       eq25
