FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.766     -20.25      197.151     20.25       197.151     -23.0       -17.0       76.724      344.308     17.0        23.0        344.308     76.724      -24.25      -21.75      -15.75      45.459      124.955     377.063     15.75       21.75       24.25       377.063     124.955     45.459      0.358       eq25
04X04       5.5         376.59      -20.75      186.757     20.75       186.757     -24.5       -17.0       58.153      318.094     17.0        24.5        318.094     58.153      -25.25      -20.75      -15.75      44.789      186.757     339.91      15.75       20.75       25.25       339.91      186.757     44.789      0.564       eq25
04X04       10.0        275.906     -21.75      139.233     21.75       139.233     -25.5       -18.5       48.418      222.622     18.5        25.5        222.622     48.418      -25.75      -23.25      1.25        44.96       96.879      275.821     -1.25       23.25       25.75       275.821     96.879      44.96       0.658       eq25
04X04       15.0        209.64      -22.75      110.459     22.75       110.459     -26.5       -19.0       42.557      175.848     19.0        26.5        175.848     42.557      -28.25      -24.75      10.75       26.646      70.146      206.038     8.25        24.75       28.25       207.757     70.146      26.646      0.683       eq25
04X04       20.0        149.87      -24.25      74.079      24.25       74.079      -27.5       -20.5       33.474      121.516     20.0        27.5        125.7       33.474      -27.75      -27.25      5.25        31.382      35.951      149.44      -5.25       27.25       27.75       149.44      35.951      31.382      0.581       eq25
04X04       25.0        108.45      -25.25      55.122      24.75       60.16       -28.5       -22.0       26.131      84.626      22.0        28.5        84.626      26.131      -36.75      -24.25      -19.75      8.112       65.156      96.239      19.75       24.25       31.25       96.239      65.156      13.919      0.478       eq25
04X04       28.5        87.956      -26.75      38.812      25.25       50.852      -29.0       -21.5       22.971      74.208      21.5        29.0        74.208      22.971      -35.25      -26.75      -16.75      7.814       38.812      83.857      12.25       28.75       35.25       86.12       24.508      7.814       0.427       lt25
07X07       2.0         437.136     -31.75      222.616     31.75       222.616     -35.0       -29.0       81.022      340.06      29.0        35.0        340.06      81.022      -37.25      -32.75      -27.75      35.194      173.786     371.718     27.75       32.75       37.25       371.718     173.786     35.194      0.61        eq25
07X07       5.5         391.574     -33.25      187.697     33.25       187.697     -37.0       -30.0       63.484      302.906     30.0        37.0        302.906     63.484      -38.25      -31.25      -27.75      43.897      264.561     342.913     27.75       31.25       38.25       342.913     264.561     43.897      0.909       eq25
07X07       10.0        292.06      -34.75      146.121     34.75       146.121     -38.5       -32.0       56.838      216.25      32.0        38.5        216.25      56.838      -40.75      -34.75      -29.75      33.884      146.121     249.083     29.75       34.75       40.75       249.083     146.121     33.884      1.154       lt25
07X07       15.0        225.17      -36.75      111.055     36.75       111.055     -40.5       -33.0       47.22       176.462     33.0        40.5        176.462     47.22       -42.75      -36.75      -30.75      29.993      111.055     195.307     30.75       36.75       42.75       195.307     111.055     29.993      1.128       eq25
07X07       20.0        162.65      -38.25      85.563      38.25       85.563      -43.0       -34.0       31.655      132.826     34.0        41.5        132.826     43.984      -44.25      -38.25      -31.75      25.446      85.563      143.187     31.75       38.25       44.25       143.187     85.563      25.446      1.032       eq25
07X07       25.0        118.05      -40.25      60.773      40.25       60.773      -44.0       -36.5       28.944      91.904      36.5        44.0        91.904      28.944      -57.75      -55.25      -27.75      10.274      11.149      110.397     27.75       41.25       57.75       110.397     51.023      10.274      0.901       lt25
07X07       28.5        96.188      -41.75      47.439      41.75       47.438      -45.5       -37.5       22.998      75.552      38.0        45.5        73.191      22.998      -47.75      -41.75      -33.75      15.959      47.439      85.52       33.75       41.75       47.75       85.52       47.438      15.958      0.839       lt25
10X10       2.0         447.29      -47.75      208.123     47.75       208.123     -51.0       -45.0       77.291      321.602     45.0        51.0        321.602     77.291      -52.25      -46.25      -42.75      49.694      275.218     370.446     42.75       46.25       52.25       370.446     275.218     49.694      0.912       eq25
10X10       5.5         403.46      -49.75      182.315     49.75       182.315     -54.0       -46.0       57.611      302.724     46.0        54.0        302.724     57.611      -54.25      -47.25      -44.75      54.167      270.52      323.613     44.75       47.25       54.25       323.613     270.52      54.167      1.306       eq25
10X10       10.0        308.092     -52.25      140.45      51.75       153.69      -55.5       -48.5       66.109      226.148     48.5        55.5        226.148     66.109      -56.75      -49.75      32.25       49.694      202.756     285.505     -32.25      51.75       56.75       285.505     153.69      49.694      1.53        eq25
10X10       15.0        240.19      -54.75      118.038     54.75       118.038     -58.5       -51.5       55.643      171.668     51.5        58.5        171.668     55.643      -63.25      -53.75      -50.25      29.7        136.691     184.284     50.25       53.75       63.25       184.284     136.691     29.7        1.619       eq25
10X10       20.0        174.89      -57.25      89.637      57.25       89.637      -62.0       -53.5       37.751      129.624     53.5        62.0        129.624     37.751      -64.75      -57.25      -50.25      26.837      89.637      143.938     50.25       57.25       64.75       143.938     89.637      26.837      1.449       eq25
10X10       25.0        129.27      -60.75      59.311      60.75       59.311      -64.5       -56.5       30.773      93.215      56.5        64.5        93.215      30.773      -86.25      -60.75      -35.25      11.854      59.311      119.873     35.25       60.75       83.25       119.873     59.311      12.747      1.19        eq25
10X10       28.5        105.11      -62.75      47.01       61.75       54.346      -66.0       -58.5       27.016      74.518      57.0        66.0        80.244      27.016      -68.25      -84.25      20.75       19.904      11.182      102.43      -20.75      82.25       68.25       102.43      11.63       19.904      1.02        eq25
15X15       2.0         455.906     -72.25      176.736     72.25       176.736     -75.0       -69.0       77.809      298.556     69.0        75.0        298.556     77.809      -77.25      -73.75      -67.75      39.817      117.445     326.468     66.75       73.75       77.25       340.925     117.445     39.817      1.231       eq25
