FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.232     -19.75      203.342     19.75       203.342     -23.0       -17.0       65.556      325.38      17.0        23.0        325.38      65.556      -24.25      -21.75      -14.75      38.486      110.03      375.589     14.75       21.75       24.25       375.589     110.03      38.486      0.335       eq25
04X04       5.5         325.31      -20.75      156.385     20.75       156.385     -24.0       -17.0       54.877      275.492     17.0        24.0        275.492     54.877      -25.25      -22.75      -15.75      35.573      86.893      294.594     15.75       22.75       25.25       294.594     86.893      35.573      0.491       eq25
04X04       10.0        240.502     -21.25      130.425     21.25       130.425     -24.5       -18.5       53.62       194.136     18.5        24.5        194.136     53.62       -26.75      -23.25      -16.25      27.421      79.594      219.923     16.25       23.25       26.75       219.923     79.594      27.421      0.591       eq25
04X04       15.0        196.276     -22.75      102.58      22.75       102.58      -26.5       -19.0       38.94       165.668     19.0        26.5        165.668     38.94       -27.75      -21.25      -18.75      27.855      131.824     168.068     18.75       21.25       27.75       168.068     131.824     27.855      0.639       eq25
04X04       20.0        140.484     -23.75      75.466      23.75       75.466      -27.5       -21.0       30.42       109.386     21.0        27.5        109.386     30.42       -29.75      -22.25      -19.75      17.767      95.353      119.335     19.75       22.25       29.75       119.335     95.353      17.767      0.556       eq25
04X04       25.0        101.082     -24.75      55.638      24.75       55.638      -29.0       -22.5       20.848      75.462      22.5        29.0        75.462      20.848      -30.25      -24.75      -20.25      15.544      55.638      88.327      20.25       24.75       30.25       88.327      55.638      15.544      0.459       eq25
04X04       28.5        81.863      -25.75      43.057      25.75       43.057      -29.0       -23.5       20.804      59.176      23.5        29.0        59.176      20.804      -31.25      -26.75      -19.25      12.432      35.395      75.402      19.25       26.75       31.25       75.402      35.395      12.432      0.388       eq25
07X07       2.0         416.672     -31.75      210.985     31.75       210.985     -35.0       -29.0       74.364      325.842     29.0        35.0        325.842     74.364      -36.25      -33.75      -27.75      45.375      119.643     356.528     27.75       33.75       36.25       356.528     119.643     45.375      0.574       eq25
07X07       5.5         342.65      -33.25      166.302     33.25       166.302     -37.0       -30.0       54.783      268.994     30.0        37.0        268.994     54.783      -38.25      -35.75      -28.75      38.23       83.287      290.783     28.75       35.75       38.25       290.783     83.287      38.23       0.825       eq25
07X07       10.0        256.948     -34.75      130.231     34.75       130.231     -38.5       -31.5       49.613      201.21      31.5        38.5        201.21      49.613      -39.75      -33.75      -30.25      36.431      155.288     216.475     30.25       33.75       39.75       216.475     155.288     36.431      1.03        eq25
07X07       15.0        212.934     -36.75      107.648     36.75       107.648     -40.5       -33.0       45.933      168.848     33.0        40.5        168.848     45.933      -42.75      -35.25      -32.75      29.277      135.898     171.281     32.75       35.25       42.75       171.281     135.898     29.277      1.087       eq25
07X07       20.0        152.698     -38.25      82.339      38.25       82.339      -42.5       -35.0       33.88       118.906     35.0        42.5        118.906     33.88       -43.75      -37.25      -32.25      26.595      95.291      133.616     32.25       37.25       43.75       133.616     95.291      26.595      0.969       eq25
07X07       25.0        110.824     -40.25      58.544      40.25       58.544      -44.0       -37.5       27.756      81.499      37.5        44.0        81.499      27.756      -46.25      -39.75      -37.25      18.558      63.221      83.034      37.25       39.75       46.25       83.034      63.221      18.558      0.836       lt25
07X07       28.5        89.907      -42.25      41.837      42.25       41.837      -45.0       -38.5       24.114      67.067      38.5        45.0        67.067      24.114      -47.25      -38.75      -36.25      16.144      65.658      75.683      36.25       38.75       47.25       75.683      65.658      16.144      0.739       lt25
10X10       2.0         424.802     -47.75      196.415     47.75       196.415     -51.0       -45.0       71.711      305.638     45.0        51.0        305.638     71.711      -52.25      -49.75      -42.75      46.025      112.453     352.899     42.75       49.75       52.25       352.899     112.453     46.025      0.861       eq25
10X10       5.5         354.654     -49.75      161.857     49.75       161.857     -53.0       -46.0       67.33       267.768     46.0        53.0        267.768     67.33       -54.25      -51.75      -45.75      47.716      98.028      271.752     45.75       51.75       54.25       271.752     98.028      47.716      1.184       eq25
10X10       10.0        271.386     -52.25      124.858     52.25       124.858     -55.5       -48.5       58.322      200.832     48.5        55.5        200.832     58.322      -56.75      -49.75      -47.25      44.076      180.533     213.939     47.25       49.75       56.75       213.939     180.533     44.076      1.387       eq25
10X10       15.0        224.994     -55.25      107.012     55.25       107.012     -59.5       -52.0       45.469      158.502     52.0        59.5        158.502     45.469      -60.75      -57.25      -50.75      37.145      73.189      171.131     50.75       57.25       60.75       171.131     73.189      37.145      1.55        eq25
10X10       20.0        162.886     -58.25      74.972      58.25       74.972      -61.5       -55.0       40.698      111.454     55.0        61.5        111.454     40.698      -62.75      -59.25      -52.75      32.979      62.968      126.452     52.75       59.25       62.75       126.452     62.968      32.979      1.351       eq25
10X10       25.0        119.712     -60.75      57.564      60.75       57.564      -65.0       -56.5       27.763      88.099      56.5        65.0        88.099      27.763      -65.25      -62.75      -54.25      26.784      41.238      95.695      54.25       62.75       65.25       95.695      41.238      26.784      1.138       eq25
10X10       28.5        97.119      -62.25      48.925      62.25       48.925      -66.0       -59.5       26.308      65.812      59.5        66.0        65.812      26.308      -67.25      -61.75      -57.25      21.766      52.328      74.475      57.25       61.75       67.25       74.475      52.328      21.766      0.983       eq25
15X15       2.0         433.072     -71.75      188.576     71.75       188.576     -75.0       -69.0       74.327      284.016     69.0        75.0        284.016     74.327      -77.25      -73.75      -67.75      38.17       112.336     310.244     67.75       73.75       77.25       310.244     112.336     38.17       1.197       eq25
15X15       5.5         364.142     -74.75      155.006     74.75       155.006     -78.0       -72.0       69.569      230.11      72.0        78.0        230.11      69.569      -79.25      -76.75      -70.75      51.032      97.774      251.924     70.75       76.75       79.25       251.924     97.774      51.032      1.556       eq25
