FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.376     -20.25      199.387     20.25       199.387     -23.0       -17.0       80.237      341.822     17.0        23.0        341.822     80.237      -24.25      -21.75      -15.75      48.113      128.327     373.286     15.75       21.75       24.25       373.286     128.327     48.113      0.374       eq25
04X04       5.5         372.676     -20.75      190.197     20.75       190.197     -24.0       -18.0       74.444      290.308     18.0        24.0        290.308     74.444      -26.25      -19.25      -15.75      35.221      249.094     335.566     15.75       19.25       26.25       335.566     249.094     35.221      0.573       eq25
04X04       10.0        273.458     -21.75      142.116     21.75       142.116     -25.0       -19.0       60.484      211.96      19.0        25.0        211.96      60.484      -27.25      -22.75      -14.75      31.356      114.052     257.776     14.75       22.75       27.25       257.776     114.052     31.356      0.673       eq25
04X04       15.0        211.332     -22.75      113.409     22.75       113.409     -27.0       -19.5       39.497      170.778     19.5        27.0        170.778     39.497      -29.25      -21.75      -18.25      23.016      133.58      183.974     18.25       21.75       29.25       183.974     133.58      23.016      0.694       eq25
04X04       20.0        151.196     -24.25      76.34       24.25       76.34       -28.0       -20.5       31.326      122.588     20.5        28.0        122.588     31.326      -29.25      -22.75      -20.25      23.037      97.295      124.603     20.25       22.75       29.25       124.603     97.295      23.037      0.593       eq25
04X04       25.0        109.444     -25.25      56.957      25.25       56.957      -28.5       -22.0       27.897      85.636      22.0        28.5        85.636      27.897      -30.75      -24.25      -19.75      16.476      66.794      96.909      19.75       24.25       30.75       96.909      66.794      16.476      0.491       eq25
04X04       28.5        88.706      -26.25      44.365      26.25       44.365      -29.5       -23.0       21.843      67.684      23.0        29.5        67.684      21.843      -31.75      -24.25      -21.75      13.207      59.627      73.808      21.75       24.25       31.75       73.808      59.627      13.207      0.419       eq25
07X07       2.0         431.706     -31.75      221.557     31.75       221.557     -35.0       -29.0       83.375      335.258     29.0        35.0        335.258     83.375      -37.25      -30.25      -27.75      36.522      289.524     365.79      27.75       30.25       37.25       365.79      289.524     36.522      0.62        eq25
07X07       5.5         388.104     -33.25      190.972     33.25       190.972     -37.0       -30.0       67.804      301.574     30.0        37.0        301.574     67.804      -38.25      -31.25      -28.75      47.008      265.171     326.335     28.75       31.25       38.25       326.335     265.171     47.007      0.929       eq25
07X07       10.0        291.01      -34.75      148.682     34.75       148.682     -39.0       -31.0       52.534      233.084     31.0        39.0        233.084     52.534      -39.25      -36.75      -30.75      49.475      95.716      236.383     30.75       36.75       39.25       236.383     95.716      49.475      1.141       eq25
07X07       15.0        226.8       -36.75      113.414     36.75       113.414     -41.0       -33.5       44.29       171.228     33.5        41.0        171.228     44.29       -42.25      -35.75      -30.75      34.356      133.286     196.516     30.75       35.75       42.25       196.516     133.286     34.356      1.147       eq25
07X07       20.0        163.444     -38.75      80.086      38.75       80.086      -42.0       -35.5       41.007      120.642     35.5        42.0        120.642     41.007      -44.25      -37.75      -31.75      26.483      93.845      143.338     31.75       37.75       44.25       143.338     93.845      26.483      1.032       eq25
07X07       25.0        118.968     -40.25      62.051      40.25       62.051      -45.0       -36.5       24.933      92.525      36.5        45.0        92.525      24.933      -46.25      -40.75      -35.25      20.3        57.186      98.431      35.25       40.75       46.25       98.431      57.186      20.3        0.898       lt25
