FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         451.788     -20.25      214.124     20.25       214.124     -23.5       -17.0       71.29       364.085     17.0        23.5        364.085     71.29       -25.25      -19.75      -15.25      35.221      240.395     407.337     15.25       19.75       25.25       407.337     240.395     35.221      0.374       eq25
04X04       5.5         433.059     -20.75      214.571     20.75       214.571     -24.5       -17.0       69.041      362.607     17.0        24.5        362.607     69.041      -26.75      -20.25      -14.75      32.482      237.799     402.189     14.75       20.25       26.75       402.189     237.799     32.482      0.618       eq25
04X04       10.0        314.586     -21.75      158.706     21.75       158.706     -25.5       -18.0       56.354      261.524     18.0        25.5        261.524     56.354      -27.75      -23.25      -15.75      29.508      111.65      289.993     15.75       23.25       27.75       289.993     111.65      29.508      0.729       eq25
04X04       15.0        222.237     -22.75      115.938     22.75       115.938     -26.5       -19.0       44.737      184.666     19.0        26.5        184.666     44.737      -28.75      -23.25      -16.75      24.566      104.985     204.053     16.75       23.25       28.75       204.053     104.985     24.566      0.705       eq25
04X04       20.0        158.859     -24.25      77.723      24.25       77.723      -27.5       -20.0       35.093      132.338     20.0        27.5        132.338     35.093      -29.75      -24.25      -18.75      19.837      77.723      141.0       18.75       24.25       29.75       141.0       77.723      19.837      0.604       eq25
04X04       25.0        115.056     -25.25      58.021      25.25       58.021      -28.5       -21.0       27.429      95.878      21.0        28.5        95.878      27.429      -30.75      -26.25      -19.75      15.859      47.515      101.831     19.75       26.25       30.75       101.831     47.515      15.859      0.5         eq25
04X04       28.5        93.298      -25.75      49.282      25.75       49.282      -29.5       -22.0       21.327      76.084      22.0        29.5        76.084      21.327      -31.75      -27.25      -19.75      12.66       36.789      84.295      19.75       27.25       31.75       84.295      36.789      12.66       0.434       eq25
07X07       2.0         464.363     -32.25      210.169     32.25       210.169     -35.5       -29.0       72.959      357.558     29.0        35.5        357.558     72.959      -37.25      -31.75      -27.25      38.655      235.676     401.681     27.25       31.75       37.25       401.681     235.676     38.655      0.628       eq25
07X07       5.5         445.036     -33.25      206.76      33.25       206.76      -36.5       -29.5       83.031      351.655     29.5        36.5        351.655     83.031      -38.75      -33.25      -27.75      42.275      206.76      386.657     27.75       33.25       38.75       386.657     206.76      42.275      0.991       eq25
07X07       10.0        329.335     -34.75      160.03      34.75       160.03      -38.5       -31.0       62.634      259.721     31.0        38.5        259.721     62.634      -40.75      -34.25      -28.75      36.84       175.525     288.553     28.75       34.25       40.75       288.553     175.525     36.84       1.194       eq25
