FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.719     -19.75      222.426     19.75       222.426     -23.0       -17.0       78.54       342.559     17.0        23.0        342.559     78.54       -25.25      -20.75      -14.75      31.788      172.596     392.371     14.75       20.75       25.25       392.371     172.596     31.788      0.366       eq25
04X04       5.5         376.59      -20.75      186.833     20.75       186.833     -24.0       -17.0       71.247      316.765     17.0        24.0        316.765     71.247      -25.75      -20.25      -15.75      38.997      207.436     338.919     15.75       20.25       25.75       338.919     207.436     38.997      0.561       eq25
04X04       10.0        275.906     -21.75      139.261     21.75       139.261     -25.0       -18.5       57.802      221.682     18.5        25.0        221.682     57.802      -27.25      -21.25      -16.75      29.969      153.626     246.365     16.75       21.25       27.25       246.365     153.626     29.969      0.66        eq25
04X04       15.0        209.64      -22.75      110.436     22.75       110.436     -26.5       -19.5       43.214      169.065     19.5        26.5        169.065     43.214      -28.25      -22.75      -17.75      27.111      110.436     186.752     17.75       22.75       28.25       186.752     110.436     27.111      0.686       eq25
04X04       20.0        149.87      -24.25      74.127      24.25       74.127      -27.5       -20.5       33.93       121.117     20.5        27.5        121.117     33.93       -29.75      -24.25      -17.25      19.456      74.127      139.103     17.25       24.25       29.75       139.103     74.127      19.456      0.581       eq25
04X04       25.0        108.45      -25.25      55.146      25.25       55.146      -29.0       -22.0       23.265      84.322      22.0        29.0        84.322      23.265      -31.25      -24.25      -19.75      14.095      65.047      96.04       19.75       24.25       31.25       96.04       65.047      14.095      0.479       eq25
04X04       28.5        87.937      -25.75      46.829      25.75       46.829      -29.0       -22.5       23.227      69.331      22.5        29.0        69.331      23.227      -31.25      -26.75      -19.75      13.834      38.873      79.487      19.75       26.75       31.25       79.487      38.873      13.834      0.427       eq25
07X07       2.0         437.148     -31.75      222.455     31.75       222.455     -35.5       -29.0       68.286      338.38      29.0        35.5        338.38      68.286      -37.25      -31.75      -26.75      36.227      222.455     386.768     26.75       31.75       37.25       386.768     222.455     36.227      0.611       eq25
07X07       5.5         391.554     -33.25      187.751     33.25       187.751     -37.0       -30.0       64.835      301.594     30.0        37.0        301.594     64.835      -38.25      -33.25      -27.75      44.859      187.751     342.151     27.75       33.25       38.25       342.151     187.751     44.859      0.911       eq25
07X07       10.0        292.06      -34.75      146.116     34.75       146.116     -38.5       -31.5       57.742      224.858     31.5        38.5        224.858     57.742      -40.75      -34.25      -29.75      34.356      160.0       248.495     29.75       34.25       40.75       248.495     160.0       34.356      1.156       lt25
07X07       15.0        225.17      -36.75      111.084     36.75       111.084     -40.5       -33.0       47.841      175.85      33.0        40.5        175.85      47.841      -42.75      -36.75      -30.75      30.343      111.084     194.986     30.75       36.75       42.75       194.986     111.084     30.343      1.131       eq25
07X07       20.0        162.65      -38.25      85.53       38.25       85.53       -42.5       -35.0       35.561      124.568     35.0        42.5        124.568     35.561      -44.25      -38.25      -32.75      25.689      85.53       139.272     32.75       38.25       43.75       139.272     85.53       27.904      1.034       eq25
07X07       25.0        118.05      -40.25      60.769      40.25       60.769      -44.0       -36.5       29.216      91.641      36.5        44.0        91.641      29.216      -46.25      -40.25      -34.25      19.549      60.769      101.266     34.25       40.25       46.25       101.266     60.769      19.549      0.902       lt25
07X07       28.5        96.188      -41.75      47.443      41.75       47.443      -45.5       -37.5       23.221      75.328      38.0        45.5        72.957      23.221      -47.75      -41.75      -36.25      16.08       47.443      79.909      36.25       41.75       47.75       79.909      47.443      16.08       0.84        lt25
10X10       2.0         447.29      -47.75      208.083     47.75       208.083     -51.0       -45.0       78.911      320.062     45.0        51.0        320.062     78.911      -53.25      -47.75      -42.75      37.706      208.083     369.467     42.75       47.75       53.25       369.467     208.083     37.706      0.909       eq25
10X10       5.5         403.46      -49.75      182.394     49.75       182.394     -53.0       -46.0       78.156      301.502     46.0        53.0        301.502     78.156      -55.25      -49.25      -44.75      43.765      201.042     322.793     44.75       49.25       55.25       322.793     201.042     43.765      1.308       eq25
10X10       10.0        308.092     -52.25      140.5       52.25       140.5       -55.5       -48.5       66.964      225.333     48.5        55.5        225.333     66.964      -57.75      -52.75      -47.25      41.926      127.488     241.207     47.25       52.75       57.75       241.207     127.488     41.926      1.533       eq25
10X10       15.0        240.19      -54.75      117.989     54.75       117.989     -58.5       -51.5       56.219      171.112     51.5        58.5        171.112     56.219      -60.25      -54.75      -49.25      40.684      117.989     191.048     49.25       54.75       60.25       191.048     117.989     40.684      1.621       eq25
