FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         452.001     -20.25      213.933     20.25       213.933     -23.5       -17.0       68.42       366.827     17.0        23.5        366.827     68.42       -24.75      -20.25      -15.75      40.597      213.933     399.914     15.75       20.25       24.75       399.914     213.933     40.597      0.374       eq25
04X04       5.5         433.031     -20.75      214.434     20.75       214.434     -24.0       -17.5       80.489      350.669     17.5        24.0        350.669     80.489      -26.25      -20.25      -15.25      36.154      238.147     397.661     15.25       20.25       26.25       397.661     238.147     36.154      0.616       eq25
04X04       10.0        314.704     -21.75      158.722     21.75       158.722     -25.0       -18.5       64.623      253.055     18.5        25.0        253.055     64.623      -27.25      -22.75      -16.25      32.354      126.324     286.606     16.25       22.75       27.25       286.606     126.324     32.354      0.729       eq25
04X04       15.0        222.234     -22.75      115.983     22.75       115.983     -26.0       -19.5       50.808      178.985     19.5        26.0        178.985     50.808      -28.25      -22.25      -16.25      26.845      127.086     206.974     16.25       22.25       28.25       206.974     127.086     26.845      0.704       eq25
04X04       20.0        158.859     -23.75      85.382      23.75       85.382      -28.0       -20.5       29.879      128.443     20.5        28.0        128.443     29.879      -29.25      -23.75      -18.25      21.661      85.382      143.983     18.25       23.75       29.25       143.983     85.382      21.661      0.613       eq25
04X04       25.0        115.043     -25.25      58.016      25.25       58.016      -29.0       -21.5       23.591      93.23       21.5        29.0        93.23       23.591      -31.25      -25.75      -20.25      14.058      52.609      100.095     20.25       25.75       31.25       100.095     52.609      14.058      0.5         eq25
04X04       28.5        93.347      -26.25      45.026      26.25       45.026      -30.0       -22.5       18.43       73.759      22.5        30.0        73.759      18.43       -32.25      -26.75      -20.25      11.329      40.764      83.162      20.25       26.75       32.25       83.162      40.764      11.329      0.428       eq25
07X07       2.0         464.399     -32.25      209.889     32.25       209.889     -35.5       -28.5       70.194      375.709     28.5        35.5        375.709     70.194      -37.25      -32.25      -27.25      37.027      209.889     403.554     27.25       32.25       37.25       403.554     209.889     37.027      0.628       eq25
07X07       5.5         445.109     -33.25      206.572     33.25       206.572     -37.0       -29.5       68.323      353.827     29.5        37.0        353.827     68.323      -38.25      -32.75      -28.25      46.644      229.324     380.533     28.25       32.75       38.25       380.533     229.324     46.644      0.99        eq25
07X07       10.0        329.413     -34.75      159.958     34.75       159.958     -38.5       -31.5       61.149      251.331     31.5        38.5        251.331     61.149      -40.25      -33.75      -30.25      39.655      191.32      273.052     30.25       33.75       40.25       273.052     191.32      39.656      1.193       eq25
07X07       15.0        236.415     -36.25      123.085     36.25       123.085     -40.0       -32.5       52.496      189.541     32.5        40.0        189.541     52.496      -42.25      -35.75      -31.25      32.037      133.771     201.04      31.25       35.75       42.25       201.04      133.771     32.037      1.183       eq25
07X07       20.0        172.679     -38.25      87.688      38.25       87.688      -42.0       -34.5       39.153      135.728     34.5        42.0        135.728     39.153      -44.25      -38.25      -33.25      25.247      87.688      144.773     33.25       38.25       44.25       144.773     87.688      25.247      1.075       eq25
