FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.696     -19.75      222.34      19.75       222.34      -23.0       -17.0       79.417      341.717     17.0        23.0        341.717     79.417      -25.25      -19.25      -14.75      32.306      246.989     391.862     14.75       19.25       25.25       391.862     246.989     32.306      0.366       eq25
04X04       5.5         376.59      -20.75      186.868     20.75       186.868     -24.0       -17.0       71.936      316.112     17.0        24.0        316.112     71.936      -25.75      -20.25      -14.75      39.495      207.32      349.739     14.75       20.25       25.75       349.739     207.32      39.495      0.56        eq25
04X04       10.0        275.906     -21.75      139.276     21.75       139.276     -25.0       -18.5       58.273      221.221     18.5        25.0        221.221     58.273      -26.75      -22.25      -16.75      34.525      125.033     246.028     16.75       22.25       26.75       246.028     125.033     34.525      0.661       eq25
04X04       15.0        209.64      -22.75      110.426     22.75       110.426     -26.5       -19.5       43.538      168.754     19.5        26.5        168.754     43.538      -28.75      -21.75      -17.75      24.449      130.707     186.523     17.75       21.75       28.75       186.523     130.707     24.449      0.687       eq25
04X04       20.0        149.87      -24.25      74.148      24.25       74.148      -27.5       -20.5       34.141      120.918     20.5        27.5        120.918     34.141      -28.75      -23.25      -18.25      24.704      88.307      135.428     18.25       23.25       28.75       135.428     88.307      24.704      0.581       eq25
04X04       25.0        108.45      -25.25      55.156      25.25       55.156      -29.0       -21.0       23.415      90.381      21.0        29.0        90.381      23.415      -32.25      -25.25      -20.75      12.083      55.156      91.628      20.75       25.25       32.25       91.628      55.156      12.083      0.48        eq25
04X04       28.5        87.922      -25.75      46.822      25.75       46.822      -30.0       -22.5       18.343      69.238      22.5        30.0        69.238      18.343      -33.25      -25.75      -20.25      9.803       46.822      78.144      20.25       27.75       33.25       78.144      31.416      9.803       0.429       eq25
07X07       2.0         437.15      -31.75      222.373     31.75       222.373     -35.0       -29.0       83.575      337.563     29.0        35.0        337.563     83.575      -37.25      -31.75      -26.75      36.743      222.373     386.304     26.75       31.75       37.25       386.304     222.373     36.743      0.611       eq25
07X07       5.5         391.539     -33.25      187.776     33.25       187.776     -37.0       -30.0       65.495      300.965     30.0        37.0        300.965     65.495      -38.25      -32.25      -27.75      45.34       226.846     341.768     27.75       32.25       38.25       341.768     226.846     45.34       0.913       eq25
07X07       10.0        292.06      -34.75      146.112     34.75       146.112     -38.5       -31.5       58.185      224.434     31.5        38.5        224.434     58.185      -39.75      -34.25      -29.75      42.506      159.902     248.2       29.75       34.25       39.75       248.2       159.902     42.506      1.167       lt25
07X07       15.0        225.17      -36.75      111.098     36.75       111.098     -40.0       -33.0       54.303      175.552     33.0        40.5        175.552     48.147      -41.75      -37.75      -31.75      36.551      91.519      187.962     31.75       37.75       41.75       187.962     91.519      36.551      1.133       eq25
07X07       20.0        162.65      -38.25      85.511      38.25       85.511      -42.0       -35.0       39.874      124.379     35.0        42.0        124.379     39.874      -44.75      -38.25      -32.75      23.968      85.511      139.148     32.75       38.25       44.75       139.148     85.511      23.968      1.042       eq25
07X07       25.0        118.05      -40.25      60.765      40.25       60.765      -44.0       -37.0       29.346      88.423      37.0        44.0        88.423      29.346      -46.25      -40.25      -34.25      19.64       60.765      101.182     34.25       40.25       46.25       101.182     60.765      19.64       0.908       lt25
07X07       28.5        96.188      -41.75      47.447      41.25       51.26       -45.0       -37.5       25.726      75.219      37.5        45.0        75.219      25.726      -46.75      -42.75      -36.25      18.678      39.953      79.836      36.25       42.75       46.75       79.836      39.953      18.678      0.845       lt25
10X10       2.0         447.29      -47.75      208.061     47.75       208.061     -51.0       -45.0       79.688      319.33      45.0        51.0        319.33      79.688      -53.25      -47.25      -42.75      38.154      230.667     368.978     42.75       47.25       53.25       368.978     230.667     38.154      0.909       eq25
10X10       5.5         403.46      -49.75      182.431     49.75       182.431     -53.0       -46.0       78.758      300.917     46.0        53.0        300.917     78.758      -55.25      -49.25      -44.75      44.13       200.95      322.378     44.75       49.25       55.25       322.378     200.95      44.13       1.308       eq25
10X10       10.0        308.092     -52.25      140.521     52.25       140.521     -55.5       -48.5       67.38       224.932     48.5        55.5        224.932     67.38       -57.75      -52.75      -46.75      42.18       127.586     245.686     46.75       52.75       57.75       245.686     127.586     42.18       1.533       eq25
10X10       15.0        240.19      -54.75      117.967     54.75       117.967     -58.5       -51.5       56.502      170.846     51.5        58.5        170.846     56.502      -60.75      -54.75      -48.25      38.02       117.967     196.127     49.25       54.75       60.75       190.877     117.967     38.02       1.621       eq25
10X10       20.0        174.89      -57.75      83.062      57.75       83.062      -61.5       -54.5       41.884      121.036     54.5        61.5        121.036     41.884      -63.75      -57.25      -51.25      29.888      89.548      140.628     51.25       57.25       63.75       140.628     89.548      29.888      1.431       eq25
10X10       25.0        129.234     -60.75      59.382      60.25       63.927      -64.0       -57.0       33.922      89.923      57.0        64.0        89.923      33.922      -66.25      -59.75      -47.75      24.467      68.444      111.822     47.75       60.75       66.25       111.822     59.382      24.467      1.193       eq25
10X10       28.5        105.11      -61.75      54.301      62.25       50.687      -66.5       -59.5       25.245      69.151      59.0        66.0        71.835      27.338      -67.25      -61.75      -25.75      22.678      54.301      101.15      -26.75      61.75       67.25       100.864     54.301      22.678      1.047       eq25
15X15       2.0         455.869     -71.75      197.442     71.75       197.442     -75.0       -69.0       80.017      296.476     69.0        75.0        296.476     80.017      -77.25      -72.75      -66.75      41.094      156.814     339.703     66.75       72.75       77.25       339.703     156.814     41.094      1.25        eq25
15X15       5.5         416.189     -74.75      171.2       74.75       171.2       -78.0       -71.0       77.754      278.727     71.0        78.0        278.727     77.754      -80.25      -74.25      -69.25      46.804      187.92      304.14      69.25       74.25       80.25       304.14      187.92      46.804      1.706       eq25
15X15       10.0        322.092     -78.25      139.217     78.25       139.217     -82.0       -75.0       64.418      206.151     75.0        82.0        206.151     64.418      -83.75      -78.75      -73.25      47.105      127.477     226.895     73.25       78.75       83.75       226.895     127.477     47.105      1.989       eq25
15X15       15.0        256.78      -82.75      108.895     82.75       108.895     -86.0       -79.0       61.08       164.484     79.0        86.0        164.484     61.08       -88.25      -82.75      -76.75      43.502      108.895     182.245     76.75       82.75       88.25       182.245     108.895     43.502      2.08        eq25
15X15       20.0        189.73      -86.75      82.781      86.75       82.781      -90.5       -83.5       45.408      116.998     83.5        90.5        116.998     45.408      -92.75      -85.75      -81.25      34.48       94.311      131.126     81.25       85.75       92.75       131.126     94.311      34.48       1.859       eq25
15X15       25.0        140.93      -90.75      62.712      90.75       62.712      -95.0       -88.0       33.696      83.537      88.0        95.0        83.537      33.696      -97.25      -91.25      -84.25      26.718      58.653      99.482      84.25       90.25       97.25       99.482      66.772      26.718      1.565       eq25
15X15       28.5        115.04      -93.75      49.805      93.75       49.805      -96.5       -89.5       33.477      73.722      89.5        96.5        73.722      33.477      -103.75     -94.25      -1.25       18.791      46.567      115.077     1.25        94.25       103.75      115.077     46.567      18.791      1.35        eq25
20X20       2.0         460.1       -96.25      172.658     96.25       172.658     -100.0      -93.0       60.751      277.22      93.0        100.0       277.22      60.751      -101.25     -95.25      -90.75      43.783      209.134     312.234     90.75       95.25       101.25      312.234     209.134     43.783      1.463       eq25
20X20       5.5         436.17      -99.75      170.459     99.75       170.459     -103.5      -96.5       72.438      257.693     96.5        103.5       257.693     72.438      -104.75     -98.75      -94.75      55.396      200.834     283.632     94.75       98.75       104.75      283.632     200.834     55.396      2.017       eq25
20X20       10.0        340.01      -104.75     133.199     104.75      133.199     -108.5      -101.5      64.727      195.211     101.5       108.5       195.211     64.727      -109.75     -104.75     -99.25      52.534      133.199     218.577     99.25       104.75      109.75      218.577     133.199     52.534      2.273       eq25
20X20       15.0        265.48      -110.25     108.776     110.25      108.776     -114.5      -107.0      54.807      151.446     107.0       114.5       151.446     54.807      -117.75     -110.25     -103.75     39.072      108.776     172.301     103.75      110.25      117.75      172.301     108.776     39.072      2.339       eq25
20X20       20.0        198.3       -115.75     81.75       115.75      81.75       -119.5      -112.0      47.482      114.64      112.0       120.0       114.64      44.354      -121.75     -116.25     -109.75     36.67       76.57       124.92      109.75      116.25      121.75      124.92      76.57       36.67       2.078       eq25
20X20       25.0        148.15      -121.25     61.193      121.25      61.193      -124.5      -118.0      39.752      82.174      118.0       124.5       82.174      39.752      -128.75     -119.75     -115.25     26.631      71.822      92.066      115.25      119.75      128.75      92.066      71.822      26.631      1.75        eq25
20X20       28.5        121.47      -125.25     48.172      125.25      48.172      -129.5      -121.0      28.269      69.291      121.0       129.5       69.291      28.269      -131.75     -124.25     37.25       23.41       53.933      115.255     -37.25      124.25      131.75      115.255     53.933      23.41       1.59        lt25
24X24       2.0         464.942     -116.25     166.325     116.25      166.325     -120.0      -113.0      61.207      260.56      113.0       120.0       260.56      61.207      -121.25     -115.25     -110.75     44.626      199.676     290.934     110.75      115.25      121.25      290.934     199.676     44.626      1.621       eq25
24X24       5.5         440.24      -120.75     156.491     120.75      156.491     -124.0      -117.5      76.651      237.112     117.5       124.0       237.112     76.651      -126.25     -121.75     -115.25     49.337      128.73      266.352     115.25      121.75      126.25      266.352     128.73      49.337      2.152       eq25
24X24       10.0        344.92      -126.75     123.477     126.75      123.477     -130.5      -123.5      62.012      180.792     123.5       130.5       180.792     62.012      -132.75     -125.75     -121.25     45.505      143.025     202.566     121.25      125.75      132.75      202.566     143.025     45.505      2.373       eq25
24X24       15.0        271.1       -133.75     97.466      133.75      97.466      -138.0      -129.5      51.02       146.644     129.5       137.5       146.644     54.647      -139.75     -132.75     -127.25     42.371      110.999     159.191     127.25      132.75      139.75      159.191     110.999     42.371      2.468       eq25
24X24       20.0        202.74      -140.25     75.098      140.25      75.097      -143.5      -136.5      47.895      105.743     136.5       143.5       105.743     47.895      -145.75     -140.25     -134.75     37.098      75.098      114.066     134.75      140.25      145.75      114.066     75.097      37.098      2.481       lt25
24X24       25.0        /
24X24       28.5        124.62      -151.25     46.863      151.25      46.863      -155.5      -147.0      28.402      65.491      147.0       155.5       65.491      28.402      -159.25     -151.25     -145.25     21.957      46.863      69.731      145.25      151.25      159.25      69.731      46.863      21.957      1.54        eq25
