FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.375     -20.25      199.533     20.25       199.533     -23.0       -17.0       81.982      340.121     17.0        23.0        340.121     81.982      -25.25      -20.75      -14.75      33.482      175.243     388.176     14.75       20.75       25.25       388.176     175.243     33.482      0.374       eq25
04X04       5.5         372.67      -20.75      190.18      20.75       190.18      -24.0       -17.5       75.757      302.278     17.5        24.0        302.278     75.757      -26.25      -20.25      -15.75      36.078      210.14      334.669     15.75       20.25       26.25       334.669     210.14      36.078      0.572       eq25
04X04       10.0        273.454     -21.75      142.085     21.75       142.085     -25.5       -18.5       52.679      220.469     18.5        25.5        220.469     52.679      -27.25      -21.75      -16.75      31.983      142.085     243.851     16.75       21.75       27.25       243.851     142.085     31.983      0.674       eq25
04X04       15.0        211.312     -23.25      103.132     23.25       103.132     -27.0       -19.5       40.122      170.177     19.5        27.0        170.177     40.122      -29.25      -22.75      -17.25      23.347      113.338     190.867     17.25       22.75       29.25       190.867     113.338     23.347      0.681       eq25
04X04       20.0        151.188     -24.25      76.355      24.25       76.355      -28.0       -20.5       31.734      122.182     20.5        28.0        122.182     31.734      -30.25      -24.75      -19.25      18.911      69.333      131.248     19.25       24.75       30.25       131.248     69.333      18.911      0.593       eq25
04X04       25.0        109.44      -25.25      56.954      25.25       56.954      -29.0       -22.0       24.921      85.368      22.0        29.0        85.368      24.921      -31.25      -24.25      -19.75      15.104      66.683      96.725      19.75       24.25       31.25       96.725      66.683      15.104      0.491       eq25
04X04       28.5        88.695      -26.25      44.377      26.25       44.377      -29.5       -23.0       22.058      67.476      23.0        29.5        67.476      22.058      -32.75      -27.25      -19.75      11.167      36.691      80.046      19.75       27.25       32.75       80.046      36.691      11.167      0.419       eq25
07X07       2.0         431.756     -32.25      197.877     32.25       197.877     -35.5       -29.0       70.546      333.633     29.0        35.5        333.633     70.546      -37.25      -31.25      -26.75      37.584      244.645     380.536     26.75       31.25       37.25       380.536     244.645     37.584      0.609       eq25
07X07       5.5         388.116     -33.25      190.951     33.25       190.951     -37.0       -30.0       69.033      300.332     30.0        37.0        300.332     69.033      -38.25      -33.25      -27.75      47.965      190.951     338.798     27.75       33.25       38.25       338.798     190.951     47.965      0.93        eq25
07X07       10.0        290.973     -34.75      148.625     34.75       148.625     -38.5       -31.5       60.835      224.439     31.5        38.5        224.439     60.835      -40.25      -34.75      -29.75      39.861      148.625     247.095     29.75       34.75       40.25       247.095     148.625     39.861      1.143       eq25
07X07       15.0        226.796     -36.75      113.423     36.75       113.423     -40.5       -33.5       50.286      170.65      33.5        40.5        170.65      50.286      -43.25      -36.75      -30.75      29.577      113.423     196.185     30.75       36.75       43.25       196.185     113.423     29.577      1.148       eq25
07X07       20.0        163.446     -38.75      80.11       38.75       80.11       -42.0       -35.5       41.39       120.269     35.5        42.0        120.269     41.39       -44.25      -38.75      -32.75      26.76       80.11       139.327     32.75       38.75       44.25       139.327     80.11       26.76       1.034       eq25
07X07       25.0        118.963     -40.25      62.027      40.25       62.027      -44.0       -36.5       30.582      92.269      36.5        44.0        92.269      30.582      -46.25      -40.75      -34.75      20.481      57.229      100.068     34.75       40.75       46.25       100.068     57.229      20.481      0.9         lt25
07X07       28.5        96.659      -41.75      48.251      41.75       48.251      -45.5       -38.5       24.111      70.582      38.5        45.5        70.582      24.111      -48.25      -40.75      -37.25      15.484      55.761      76.432      37.25       40.75       63.75       76.432      55.761      7.953       0.795       lt25
10X10       2.0         439.65      -47.75      206.239     47.75       206.239     -51.0       -45.0       79.523      314.755     45.0        51.0        314.755     79.523      -53.25      -47.25      -42.75      38.083      228.479     362.217     42.75       47.25       53.25       362.217     228.479     38.083      0.901       eq25
10X10       5.5         399.841     -49.75      185.977     49.75       185.977     -53.5       -46.0       71.243      300.313     46.0        53.5        300.313     71.243      -55.25      -49.25      -44.75      45.957      204.172     320.394     44.75       49.25       55.25       320.394     204.172     45.957      1.304       eq25
10X10       10.0        304.992     -52.25      142.683     52.25       142.683     -56.0       -48.5       61.976      223.947     48.5        56.0        223.947     61.976      -57.75      -52.75      -47.25      43.459      129.958     239.045     47.25       52.75       57.75       239.045     129.958     43.459      1.53        eq25
10X10       15.0        242.223     -54.75      119.569     54.75       119.569     -59.0       -51.5       52.277      172.295     51.5        59.0        172.295     52.277      -60.25      -53.75      -49.25      41.938      137.917     191.99      49.25       53.75       60.25       191.99      137.917     41.938      1.634       eq25
10X10       20.0        176.95      -57.75      84.729      57.75       84.729      -61.5       -54.5       43.158      122.378     54.5        61.5        122.378     43.158      -63.25      -57.75      -52.25      32.717      84.729      137.773     52.25       57.75       63.25       137.773     84.729      32.717      1.447       eq25
10X10       25.0        130.576     -60.25      65.426      60.25       65.426      -64.0       -57.0       35.092      91.221      57.0        64.0        91.221      35.092      -66.75      -59.75      -54.75      23.832      69.941      101.695     54.75       59.75       66.75       101.695     69.941      23.832      1.225       eq25
10X10       28.5        106.249     -62.25      51.864      62.25       51.864      -66.5       -59.0       26.163      72.94       59.0        66.5        72.94       26.163      -67.75      -62.25      -54.75      22.0        51.864      86.112      54.75       62.25       67.75       86.112      51.864      22.0        1.047       eq25
15X15       2.0         448.884     -71.75      193.957     71.75       193.957     -75.0       -68.5       78.678      303.865     68.5        75.0        303.865     78.678      -77.25      -72.75      -66.75      40.464      154.134     333.643     66.75       72.75       77.25       333.643     154.134     40.464      1.242       eq25
15X15       5.5         411.318     -74.75      172.986     74.75       172.986     -78.5       -71.5       70.057      266.798     71.5        78.5        266.798     70.057      -79.75      -74.25      -69.75      52.629      189.394     295.092     69.75       74.25       79.75       295.092     189.394     52.629      1.698       eq25
15X15       10.0        319.204     -78.25      140.786     78.25       140.786     -82.0       -75.5       65.965      198.058     75.5        82.0        198.058     65.965      -83.75      -77.75      -74.25      48.034      152.346     215.297     74.25       77.75       83.75       215.297     152.346     48.034      1.972       eq25
15X15       15.0        257.844     -82.25      115.925     82.25       115.925     -86.0       -79.5       59.986      157.975     79.5        86.0        157.975     59.986      -88.25      -81.75      -76.25      43.027      124.442     184.611     76.25       81.75       88.25       184.611     124.442     43.027      2.102       eq25
15X15       20.0        190.678     -86.75      82.112      86.75       82.112      -90.5       -83.0       44.966      120.73      83.0        90.5        120.73      44.966      -92.75      -87.25      -80.25      34.24       76.295      135.184     80.25       87.25       92.75       135.184     76.295      34.24       1.859       eq25
15X15       25.0        141.561     -90.75      62.313      90.75       62.313      -94.5       -87.0       35.849      89.154      87.0        94.5        89.154      35.849      -95.75      -89.25      -83.75      30.642      74.337      100.654     83.75       89.25       95.75       100.654     74.337      30.642      1.562       eq25
15X15       28.5        116.062     -93.75      49.504      93.75       49.504      -97.5       -90.0       29.068      71.522      90.0        97.5        71.522      29.068      -98.75      -94.25      -87.75      25.192      46.255      79.252      87.75       94.25       127.75      79.252      46.255      11.629      1.343       eq25
20X20       2.0         /
