FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.395     -20.25      199.364     20.25       199.364     -23.5       -16.5       65.404      356.289     16.5        23.5        356.289     65.404      -24.75      -19.75      -15.25      39.246      224.275     382.125     15.25       19.75       24.75       382.125     224.275     39.246      0.374       eq25
04X04       5.5         372.664     -20.75      190.209     20.75       190.209     -24.5       -17.5       62.493      303.564     17.5        24.5        303.564     62.493      -26.75      -19.75      -16.25      30.69       230.232     328.407     16.25       19.75       26.75       328.407     230.232     30.69       0.573       eq25
04X04       10.0        273.469     -21.75      142.121     21.75       142.121     -25.5       -18.5       51.793      221.327     18.5        25.5        221.327     51.793      -26.75      -21.25      -15.25      35.816      156.214     255.371     15.25       21.25       26.75       255.371     156.214     35.816      0.674       eq25
04X04       15.0        211.33      -23.25      103.077     23.25       103.077     -26.5       -20.0       45.478      163.927     20.0        26.5        163.927     45.478      -28.75      -22.25      -17.25      25.485      123.63      191.227     17.25       22.25       28.75       191.227     123.63      25.485      0.681       eq25
04X04       20.0        151.195     -24.25      76.341      24.25       76.341      -27.5       -21.0       35.717      117.936     21.0        27.5        117.936     35.717      -29.75      -24.75      -18.75      20.63       69.233      134.294     18.75       24.75       29.75       134.294     69.233      20.63       0.593       eq25
04X04       25.0        109.446     -25.25      56.95       25.25       56.949      -29.0       -22.0       24.639      85.634      22.0        29.0        85.634      24.639      -31.25      -24.25      -20.25      14.92       66.797      94.998      20.25       24.25       31.25       94.998      66.797      14.92       0.491       eq25
04X04       28.5        88.706      -26.25      44.37       26.25       44.37       -30.0       -22.5       19.382      70.368      22.5        30.0        70.368      19.382      -32.25      -24.75      -19.75      12.027      55.996      80.171      19.75       24.75       32.25       80.171      55.996      12.027      0.419       eq25
07X07       2.0         431.731     -32.25      197.721     32.25       197.721     -35.5       -29.0       68.929      335.26      29.0        35.5        335.26      68.929      -36.75      -30.75      -27.25      43.295      267.974     374.413     27.25       30.75       36.75       374.413     267.974     43.295      0.609       eq25
07X07       5.5         388.112     -33.25      190.983     33.25       190.983     -36.5       -30.0       79.325      301.569     30.0        36.5        301.569     79.325      -38.75      -34.25      -28.25      41.297      152.169     333.539     28.25       34.25       38.75       333.539     152.169     41.297      0.929       eq25
07X07       10.0        290.972     -34.75      148.677     34.75       148.677     -38.5       -31.5       59.978      225.257     31.5        38.5        225.257     59.978      -40.75      -34.25      -30.25      35.584      162.379     242.514     30.25       34.25       40.75       242.514     162.379     35.584      1.133       eq25
07X07       15.0        226.776     -36.75      113.42      36.75       113.42      -40.5       -33.0       49.72       177.511     33.0        40.5        177.511     49.72       -42.75      -35.25      -30.25      31.551      142.778     199.141     30.25       35.25       42.75       199.141     142.778     31.551      1.147       eq25
07X07       20.0        163.45      -38.75      80.093      38.75       80.093      -42.5       -36.0       36.818      115.498     36.0        42.5        115.498     36.818      -44.75      -39.25      -32.25      24.555      73.202      141.594     32.25       39.25       44.75       141.594     73.202      24.555      1.024       eq25
07X07       25.0        118.946     -40.25      62.047      40.25       62.047      -44.5       -36.5       27.427      92.524      36.5        44.5        92.524      27.427      -45.75      -40.25      -35.25      21.933      62.047      98.431      35.25       40.25       45.75       98.431      62.047      21.933      0.894       lt25
07X07       28.5        96.672      -41.25      52.039      41.25       52.039      -45.5       -38.5       23.91       70.788      38.5        45.5        70.788      23.91       -47.75      -40.25      -21.75      16.394      59.513      93.111      21.75       40.25       63.75       93.111      59.513      7.905       0.791       lt25
10X10       2.0         439.656     -47.75      206.313     47.75       206.313     -51.5       -44.5       65.116      330.27      44.5        51.5        330.27      65.116      -52.75      -47.75      -43.25      42.938      206.313     355.932     43.25       47.75       52.75       355.932     206.313     42.938      0.901       eq25
10X10       5.5         399.867     -49.75      185.976     49.75       185.976     -53.5       -46.5       70.043      290.637     46.5        53.5        290.637     70.043      -54.75      -48.75      -45.25      50.526      222.491     314.332     45.25       48.75       54.75       314.332     222.491     50.526      1.304       eq25
10X10       10.0        304.99      -52.25      142.681     52.25       142.681     -56.0       -49.0       61.181      216.79      49.0        56.0        216.79      61.181      -57.25      -52.25      -46.75      46.927      142.681     244.026     46.75       52.25       57.25       244.026     142.681     46.927      1.528       eq25
10X10       15.0        242.289     -54.75      119.612     54.75       119.612     -58.5       -52.0       57.241      166.441     52.0        58.5        166.441     57.241      -60.75      -53.25      -49.75      38.581      146.964     189.07      49.75       53.25       60.75       189.07      146.964     38.581      1.634       eq25
10X10       20.0        176.94      -57.75      84.733      57.75       84.733      -61.5       -54.0       42.783      127.0       54.0        61.5        127.0       42.783      -62.75      -58.25      -52.75      34.809      78.191      135.393     52.75       58.25       62.75       135.393     78.191      34.809      1.448       eq25
10X10       25.0        130.564     -60.25      65.446      60.25       65.446      -64.0       -57.5       34.839      88.243      57.5        64.0        88.243      34.839      -66.25      -59.25      -55.25      25.026      74.47       100.048     55.25       59.25       66.25       100.048     74.47       25.026      1.225       eq25
10X10       28.5        106.254     -62.25      51.862      62.25       51.862      -66.0       -59.0       28.129      73.137      59.0        66.0        73.137      28.129      -68.25      -62.25      -54.75      20.618      51.862      86.181      54.75       62.25       68.25       86.181      51.862      20.618      1.047       eq25
15X15       2.0         448.919     -71.75      194.065     71.75       194.065     -75.5       -68.5       65.415      305.236     68.5        75.5        305.236     65.415      -76.75      -73.25      -67.25      44.942      134.293     328.06      67.25       73.25       76.75       328.06      134.293     44.942      1.242       eq25
15X15       5.5         411.38      -74.75      172.971     74.75       172.971     -78.0       -71.5       78.636      267.841     71.5        78.0        267.841     78.636      -80.25      -73.75      -69.25      47.182      205.911     301.081     69.25       73.75       80.25       301.081     205.911     47.182      1.698       eq25
15X15       10.0        319.211     -78.25      140.824     78.25       140.824     -82.0       -75.5       65.244      198.788     75.5        82.0        198.788     65.244      -84.25      -77.25      -74.75      44.382      163.954     209.764     74.75       77.25       84.25       209.764     163.954     44.382      1.972       eq25
15X15       15.0        257.85      -82.25      115.953     82.25       115.953     -86.5       -79.0       54.514      164.21      79.0        86.5        164.21      54.514      -87.75      -82.25      -76.75      45.353      115.953     182.315     76.75       82.25       87.75       182.315     115.953     45.353      2.102       eq25
15X15       20.0        190.664     -86.75      82.101      86.75       82.101      -90.5       -83.5       44.619      117.042     83.5        90.5        117.042     44.619      -92.25      -87.75      -79.75      35.724      70.453      136.9       79.75       87.75       92.25       136.9       70.453      35.724      1.858       eq25
15X15       25.0        141.596     -90.75      62.305      90.75       62.305      -95.0       -87.5       33.265      86.586      87.5        95.0        86.586      33.265      -96.25      -89.75      -84.25      28.912      70.485      99.612      84.25       89.75       96.25       99.612      70.485      28.912      1.562       eq25
15X15       28.5        116.056     -93.75      49.498      93.75       49.498      -97.0       -90.5       30.887      69.311      90.5        97.0        69.311      30.887      -98.25      -94.25      -87.25      26.421      46.202      80.513      87.25       94.25       127.75      80.513      46.202      11.56       1.343       eq25
20X20       2.0         /
20X20       5.5         458.019     -99.75      182.065     99.75       182.065     -104.0      -96.5       68.562      273.169     96.5        104.0       273.169     68.562      -105.25     -98.75      -95.25      53.512      214.196     293.183     95.25       98.75       105.25      293.183     214.196     53.512      2.09        eq25
20X20       10.0        357.077     -104.75     142.039     104.75      142.039     -108.5      -102.0      69.161      198.868     102.0       108.5       198.868     69.161      -110.25     -103.75     -99.25      52.026      164.5       230.312     99.25       103.75      110.25      230.312     164.5       52.026      2.381       eq25
20X20       15.0        267.569     -110.25     108.365     110.25      108.365     -114.0      -107.0      58.18       152.559     107.0       114.0       152.559     58.18       -116.25     -110.75     -104.25     43.441      100.62      171.24      104.25      110.75      116.25      171.24      100.62      43.441      2.331       eq25
20X20       20.0        200.184     -115.75     81.764      115.75      81.764      -119.0      -112.5      50.416      112.192     112.5       119.0       112.192     50.416      -121.25     -117.75     -109.25     37.893      61.186      127.318     109.25      117.75      121.25      127.318     61.186      37.893      2.077       eq25
