FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.3       -19.75      203.24      19.75       203.24      -23.0       -16.0       61.994      357.2       16.0        23.0        357.2       61.994      -23.25      -22.75      -15.75      55.953      70.434      361.805     15.75       22.75       23.25       361.805     70.434      55.953      0.335       eq25
04X04       5.5         325.41      -20.75      156.2       20.75       156.2       -24.0       -17.0       52.207      278.02      17.0        24.0        278.02      52.207      -24.25      -23.75      -16.75      48.087      58.309      282.06      16.75       23.75       24.25       282.06      58.309      48.087      0.49        eq25
04X04       10.0        240.53      -20.75      144.095     20.75       144.095     -24.5       -17.5       51.837      210.33      17.5        24.5        210.33      51.837      -25.75      -25.25      -17.25      34.793      40.708      212.56      17.25       17.75       25.75       212.56      206.69      34.793      0.611       eq25
04X04       15.0        196.26      -22.75      102.531     22.75       102.531     -26.5       -20.0       37.604      154.51      20.0        26.5        154.51      37.604      -26.75      -20.25      -19.75      35.243      150.185     157.685     19.75       20.25       26.75       157.685     150.185     35.243      0.64        eq25
04X04       20.0        140.52      -24.75      61.685      24.75       61.685      -28.5       -21.0       22.606      110.53      21.0        28.5        110.53      22.606      -28.75      -21.25      -20.75      21.47       107.735     112.45      20.75       21.25       28.75       112.45      107.735     21.47       0.533       eq25
04X04       25.0        101.09      -25.25      50.785      25.25       50.785      -29.0       -21.5       20.299      82.792      21.5        29.0        82.792      20.299      -30.25      -21.75      -21.25      15.164      81.087      84.085      21.25       21.75       30.25       84.085      81.087      15.164      0.452       eq25
04X04       28.5        81.875      -26.25      39.169      26.25       39.169      -30.0       -22.5       15.84       65.15       22.5        30.0        65.15       15.84       -28.25      -27.25      -22.25      24.815      31.486      66.231      22.25       27.25       28.25       66.231      31.486      24.815      0.382       eq25
07X07       2.0         416.58      -31.75      211.16      31.75       211.16      -35.0       -29.0       71.095      329.03      29.0        35.0        329.03      71.095      -36.25      -34.75      -27.75      42.942      79.907      358.88      27.75       34.75       36.25       358.88      79.907      42.942      0.573       eq25
07X07       5.5         342.79      -33.25      166.37      33.25       166.37      -37.0       -30.0       52.309      271.42      30.0        37.0        271.42      52.309      -37.25      -36.75      -29.75      48.837      57.627      276.035     29.75       36.75       37.25       276.035     57.627      48.837      0.825       eq25
07X07       10.0        256.96      -34.75      130.35      34.75       130.35      -38.5       -31.5       48.082      202.69      31.5        38.5        202.69      48.082      -38.75      -32.75      -31.25      45.134      179.195     205.99      31.25       32.75       38.75       205.99      179.195     45.134      1.014       eq25
07X07       15.0        212.97      -36.75      107.605     36.75       107.605     -41.5       -34.0       35.582      157.43      34.0        41.5        157.43      35.582      -41.75      -34.25      -33.75      34.104      153.35      160.695     33.75       34.25       41.75       160.695     153.35      34.104      1.084       eq25
07X07       20.0        152.71      -38.25      82.391      38.25       82.391      -42.5       -35.0       33.16       119.57      35.0        42.5        119.57      33.16       -43.75      -36.25      -34.75      26.117      107.445     121.38      34.75       36.25       43.75       121.38      107.445     26.117      0.963       eq25
07X07       25.0        110.82      -41.25      49.075      41.25       49.075      -45.0       -38.5       22.184      74.749      38.5        45.0        74.749      22.184      -45.25      -38.75      -38.25      21.352      72.457      76.549      38.25       38.75       45.25       76.549      72.457      21.352      0.819       lt25
07X07       28.5        89.903      -42.25      41.789      42.25       41.789      -46.0       -38.5       19.432      67.492      38.5        46.0        67.492      19.432      -46.25      -38.75      -37.25      18.646      66.028      72.867      37.25       38.75       46.25       72.867      66.028      18.646      0.723       lt25
10X10       2.0         424.81      -47.75      196.44      47.75       196.44      -51.0       -45.0       68.741      308.3       45.0        51.0        308.3       68.741      -51.25      -50.75      -43.75      63.002      76.517      338.945     43.75       50.75       51.25       338.945     76.517      63.002      0.861       eq25
