FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.97      -19.9       214.928     19.9        214.928     -23.0       -16.9       73.471      350.392     16.9        23.0        350.392     73.471      -25.2       -19.9       -14.7       29.7        214.928     395.414     14.7        19.9        25.2        395.414     214.928     29.7        0.367       eq25
04X04       5.5         376.59      -20.7       188.72      20.7        188.72      -23.9       -17.4       70.279      310.41      17.4        23.9        310.41      70.279      -26.3       -20.7       -15.1       31.169      188.72      348.664     15.1        20.7        26.3        348.664     188.72      31.169      0.555       eq25
04X04       10.0        276.25      -21.7       140.642     21.7        140.642     -25.0       -18.3       55.506      227.576     18.3        25.0        227.576     55.506      -27.5       -21.7       -15.9       26.899      140.642     255.068     15.9        21.7        27.5        255.068     140.642     26.899      0.666       eq25
04X04       15.0        209.64      -22.9       107.168     22.9        107.168     -26.4       -19.3       42.851      173.208     19.3        26.4        173.208     42.851      -28.9       -22.9       -16.8       22.641      107.168     193.5       16.8        22.9        28.9        193.5       107.168     22.641      0.692       eq25
04X04       20.0        149.87      -24.0       77.709      24.0        77.709      -27.6       -20.4       32.023      122.964     20.4        27.6        122.964     32.023      -30.3       -24.0       -17.7       16.908      77.709      138.086     17.7        24.0        30.3        138.086     77.709      16.908      0.598       eq25
04X04       25.0        108.45      -25.1       56.616      25.1        56.616      -28.9       -21.4       23.227      88.981      21.4        28.9        88.981      23.227      -31.6       -25.1       -18.7       12.98       56.616      99.569      18.7        25.1        31.6        99.569      56.616      12.98       0.47        eq25
04X04       28.5        87.956      -25.9       45.686      25.9        45.686      -29.7       -22.1       19.043      71.731      22.1        29.7        71.731      19.043      -32.4       -25.9       -19.3       10.845      45.686      80.612      19.3        25.9        32.4        80.612      45.686      10.845      0.427       eq25
07X07       2.0         437.22      -31.9       215.35      31.9        215.35      -35.0       -28.8       78.093      348.62      28.8        35.0        348.62      78.093      -37.3       -31.9       -26.6       33.21       215.35      390.634     26.6        31.9        37.3        390.634     215.35      33.21       0.614       eq25
07X07       5.5         391.75      -33.1       193.95      33.1        193.95      -36.4       -29.8       75.29       309.728     29.8        36.4        309.728     75.29       -38.9       -33.1       -27.4       36.289      193.95      347.594     27.4        33.1        38.9        347.594     193.95      36.289      0.918       eq25
07X07       10.0        292.06      -34.8       144.808     34.8        144.808     -38.2       -31.3       60.511      230.24      31.3        38.2        230.24      60.511      -40.7       -34.8       -28.8       33.491      144.808     257.434     28.8        34.8        40.7        257.434     144.808     33.491      1.137       lt25
07X07       15.0        225.17      -36.6       114.202     36.6        114.202     -40.2       -33.0       50.018      177.51      33.0        40.2        177.51      50.018      -42.9       -36.6       -30.3       28.856      114.202     198.062     30.3        36.6        42.9        198.062     114.202     28.856      1.137       eq25
07X07       20.0        162.65      -38.4       83.596      38.4        83.596      -42.2       -34.7       36.901      128.102     34.7        42.2        128.102     36.901      -44.9       -38.4       -31.9       22.997      83.596      142.88      31.9        38.4        44.9        142.88      83.596      22.997      1.006       lt25
07X07       25.0        118.05      -40.3       60.249      40.3        60.249      -44.1       -36.4       27.894      92.778      36.4        44.1        92.778      27.894      -46.9       -40.3       -33.6       17.664      60.249      103.358     33.6        40.3        46.9        103.358     60.249      17.664      0.874       lt25
07X07       28.5        96.188      -41.5       49.406      41.5        49.406      -45.4       -37.5       23.172      76.076      37.5        45.4        76.076      23.172      -48.3       -41.5       -34.6       14.778      49.406      84.208      34.6        41.5        48.3        84.208      49.406      14.778      0.831       lt25
10X10       2.0         447.29      -47.8       205.844     47.8        205.844     -50.9       -44.6       77.56       335.378     44.6        50.9        335.378     77.56       -53.2       -47.8       -42.3       35.962      205.844     376.978     42.3        47.8        53.2        376.978     205.844     35.962      0.912       eq25
10X10       5.5         403.46      -49.6       188.042     49.6        188.042     -52.9       -46.2       77.291      300.218     46.2        52.9        300.218     77.291      -55.4       -49.6       -43.8       40.972      188.042     335.018     43.8        49.6        55.4        335.018     188.042     40.972      1.333       eq25
10X10       10.0        307.74      -52.0       147.16      52.0        147.16      -55.5       -48.5       64.857      227.67      48.5        55.5        227.67      64.857      -58.1       -52.0       -45.9       38.825      147.16      253.256     45.9        52.0        58.1        253.256     147.16      38.825      1.565       eq25
10X10       15.0        240.19      -54.9       115.128     54.9        115.128     -58.6       -51.1       53.496      176.946     51.1        58.6        176.946     53.496      -61.3       -54.9       -48.4       34.71       115.128     196.268     48.4        54.9        61.3        196.268     115.128     34.71       1.619       eq25
