FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.3       -19.7       205.794     19.7        205.794     -22.7       -16.8       72.122      334.574     16.8        22.7        334.574     72.122      -24.9       -19.7       -14.6       28.377      205.794     378.656     14.6        19.7        24.9        378.656     205.794     28.377      0.339       eq25
04X04       5.5         325.41      -20.5       165.86      20.5        165.86      -23.6       -17.4       61.971      268.58      17.4        23.6        268.58      61.971      -25.8       -20.5       -15.2       29.121      165.86      301.102     15.2        20.5        25.8        301.102     165.86      29.121      0.502       eq25
04X04       10.0        240.53      -21.5       123.34      21.5        123.34      -24.7       -18.3       48.852      198.616     18.3        24.7        198.616     48.852      -27.0       -21.5       -16.0       25.208      123.34      222.08      16.0        21.5        27.0        222.08      123.34      25.208      0.591       eq25
04X04       15.0        196.26      -22.8       101.507     22.8        101.507     -26.2       -19.4       41.566      162.016     19.4        26.2        162.016     41.566      -28.7       -22.8       -16.8       22.139      101.507     181.828     16.8        22.8        28.7        181.828     101.507     22.139      0.644       eq25
04X04       20.0        140.52      -23.9       73.612      23.9        73.612      -27.5       -20.4       29.606      115.092     20.4        27.5        115.092     29.606      -30.1       -23.9       -17.8       16.369      73.612      129.102     17.8        23.9        30.1        129.102     73.612      16.369      0.56        eq25
04X04       25.0        101.09      -25.1       52.243      25.1        52.243      -28.7       -21.4       22.126      83.309      21.4        28.7        83.309      22.126      -31.4       -25.1       -18.7       12.398      52.243      93.198      18.7        25.1        31.4        93.198      52.243      12.398      0.458       eq25
04X04       28.5        81.875      -25.8       42.715      25.8        42.715      -29.5       -22.1       17.969      66.879      22.1        29.5        66.879      17.969      -32.2       -25.8       -19.4       10.376      42.715      75.337      19.4        25.8        32.2        75.337      42.715      10.376      0.389       eq25
07X07       2.0         416.58      -31.9       203.84      31.9        203.84      -34.9       -28.9       74.62       331.722     28.9        34.9        331.722     74.62       -37.2       -31.9       -26.6       31.218      203.84      374.348     26.6        31.9        37.2        374.348     203.84      31.218      0.576       eq25
07X07       5.5         342.79      -33.2       168.246     33.2        168.246     -36.3       -30.0       67.48       271.42      30.0        36.3        271.42      67.48       -38.7       -33.2       -27.7       33.479      168.246     303.094     27.7        33.2        38.7        303.094     168.246     33.479      0.837       eq25
07X07       10.0        256.96      -34.8       129.042     34.8        129.042     -38.1       -31.5       54.372      202.69      31.5        38.1        202.69      54.372      -40.5       -34.8       -29.1       30.727      129.042     225.986     29.1        34.8        40.5        225.986     129.042     30.727      1.01        eq25
07X07       15.0        212.97      -36.7       108.602     36.7        108.602     -40.3       -33.2       47.326      167.518     33.2        40.3        167.518     47.326      -42.9       -36.7       -30.6       28.228      108.602     186.75      30.6        36.7        42.9        186.75      108.602     28.228      1.094       eq25
07X07       20.0        152.71      -38.6       77.593      38.6        77.593      -42.2       -34.9       35.615      120.294     34.9        42.2        120.294     35.615      -44.9       -38.6       -32.2       22.115      77.593      133.982     32.2        38.6        44.9        133.982     77.593      22.115      0.963       eq25
07X07       25.0        110.82      -40.4       57.225      40.4        57.225      -44.2       -36.6       26.23       87.123      36.6        44.2        87.123      26.23       -47.0       -40.4       -33.9       16.58       57.225      96.878      33.9        40.4        47.0        96.878      57.225      16.58       0.819       lt25
07X07       28.5        89.903      -41.6       46.717      41.6        46.717      -45.5       -37.7       21.404      71.173      37.7        45.5        71.173      21.404      -48.3       -41.6       -34.9       13.991      46.717      78.719      34.9        41.6        48.3        78.719      46.717      13.991      0.723       lt25
