FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.5       -20.0       211.83      20.0        211.83      -23.1       -16.9       74.308      347.656     16.9        23.1        347.656     74.308      -25.4       -20.0       -14.7       29.267      211.83      391.246     14.7        20.0        25.4        391.246     211.83      29.267      0.382       eq25
04X04       5.5         372.56      -20.8       188.144     20.8        188.144     -24.1       -17.5       69.955      305.17      17.5        24.1        305.17      69.955      -26.5       -20.8       -15.1       31.588      188.144     343.964     15.1        20.8        26.5        343.964     188.144     31.588      0.582       eq25
04X04       10.0        273.53      -21.8       140.752     21.8        140.752     -25.3       -18.4       54.056      224.304     18.4        25.3        224.304     54.056      -27.8       -21.8       -15.9       26.81       140.752     252.266     15.9        21.8        27.8        252.266     140.752     26.81       0.681       eq25
04X04       15.0        211.36      -23.0       108.24      23.0        108.24      -26.6       -19.4       43.405      172.942     19.4        26.6        172.942     43.405      -29.2       -23.0       -16.7       22.72       108.24      194.63      16.7        23.0        29.2        194.63      108.24      22.72       0.694       eq25
04X04       20.0        151.2       -24.1       78.507      24.1        78.507      -27.8       -20.4       32.426      124.066     20.4        27.8        124.066     32.426      -30.5       -24.1       -17.7       17.496      78.507      138.968     17.7        24.1        30.5        138.968     78.507      17.496      0.6         eq25
04X04       25.0        109.46      -25.2       57.418      25.2        57.418      -29.1       -21.4       23.636      89.772      21.4        29.1        89.772      23.636      -31.9       -25.2       -18.6       13.077      57.418      100.503     18.6        25.2        31.9        100.503     57.418      13.077      0.495       eq25
04X04       28.5        88.718      -26.0       46.39       26.0        46.39       -29.9       -22.1       19.577      72.583      22.1        29.9        72.583      19.577      -32.8       -26.0       -19.2       10.801      46.39       81.466      19.2        26.0        32.8        81.466      46.39       10.801      0.424       eq25
07X07       2.0         431.75      -32.0       209.74      32.0        209.74      -35.2       -28.8       75.147      343.558     28.8        35.2        343.558     75.147      -37.5       -32.0       -26.5       32.369      209.74      385.47      26.5        32.0        37.5        385.47      209.74      32.369      0.619       eq25
07X07       5.5         388.12      -33.2       193.136     33.2        193.136     -36.6       -29.9       75.072      305.922     29.9        36.6        305.922     75.072      -39.1       -33.2       -27.4       36.935      193.136     343.89      27.4        33.2        39.1        343.89      193.136     36.935      0.942       eq25
07X07       10.0        290.85      -34.9       144.488     34.9        144.488     -38.4       -31.4       60.539      227.988     31.4        38.4        227.988     60.539      -41.0       -34.9       -28.8       33.19       144.488     255.832     28.8        34.9        41.0        255.832     144.488     33.19       1.11        eq25
07X07       15.0        226.66      -36.7       114.49      36.7        114.49      -40.4       -33.0       50.188      178.27      33.0        40.4        178.27      50.188      -43.1       -36.7       -30.2       29.39       114.49      199.862     30.2        36.7        43.1        199.862     114.49      29.39       1.158       eq25
07X07       20.0        163.48      -38.5       83.666      38.5        83.666      -42.4       -34.7       37.122      128.174     34.7        42.4        128.174     37.122      -45.2       -38.5       -31.8       22.826      83.666      143.394     31.8        38.5        45.2        143.394     83.666      22.826      1.014       eq25
07X07       25.0        118.84      -40.4       60.523      40.4        60.523      -44.3       -36.4       28.173      93.493      36.4        44.3        93.493      28.173      -47.2       -40.4       -33.5       17.707      60.523      103.92      33.5        40.4        47.2        103.92      60.523      17.707      0.875       lt25
07X07       28.5        96.716      -41.6       49.352      41.6        49.352      -45.6       -37.5       23.172      75.873      37.5        45.6        75.873      23.172      -48.6       -41.6       -34.5       14.585      49.352      84.515      34.5        41.6        48.6        84.515      49.352      14.585      0.778       lt25
10X10       2.0         439.74      -47.8       204.06      47.8        204.06      -51.0       -44.7       74.841      326.766     44.7        51.0        326.766     74.841      -53.3       -47.8       -42.4       35.322      204.06      368.224     42.4        47.8        53.3        368.224     204.06      35.322      0.909       eq25
10X10       5.5         399.84      -49.7       187.814     49.7        187.814     -53.1       -46.3       76.915      296.71      46.3        53.1        296.71      76.915      -55.6       -49.7       -43.8       41.325      187.814     331.84      43.8        49.7        55.6        331.84      187.814     41.325      1.316       eq25
10X10       10.0        304.92      -52.2       144.0       52.2        144.0       -55.7       -48.6       64.665      224.42      48.6        55.7        224.42      64.665      -58.4       -52.2       -46.0       38.251      144.0       249.84      46.0        52.2        58.4        249.84      144.0       38.251      1.541       eq25
10X10       15.0        242.57      -54.9       116.84      54.9        116.84      -58.7       -51.1       54.225      178.004     51.1        58.7        178.004     54.225      -61.4       -54.9       -48.4       35.171      116.84      197.168     48.4        54.9        61.4        197.168     116.84      35.171      1.638       eq25
10X10       20.0        176.92      -57.6       86.791      57.6        86.791      -61.6       -53.7       41.555      129.758     53.7        61.6        129.758     41.555      -64.4       -57.6       -50.8       28.162      86.791      143.978     50.8        57.6        64.4        143.978     86.791      28.162      1.466       eq25
10X10       25.0        130.54      -60.4       64.066      60.4        64.066      -64.4       -56.3       32.246      95.664      56.3        64.4        95.664      32.246      -67.4       -60.4       -53.3       22.1        64.066      105.996     53.3        60.4        67.4        105.996     64.066      22.1        1.227       eq25
10X10       28.5        106.3       -62.2       52.222      62.2        52.222      -66.3       -58.0       26.501      77.915      58.0        66.3        77.915      26.501      -69.3       -62.2       -55.0       18.527      52.222      85.988      55.0        62.2        69.3        85.988      52.222      18.527      0.886       lt25
15X15       2.0         449.05      -71.9       187.942     71.9        187.942     -75.0       -68.7       74.846      302.326     68.7        75.0        302.326     74.846      -77.4       -71.9       -66.4       37.162      187.942     339.13      66.4        71.9        77.4        339.13      187.942     37.162      1.247       eq25
15X15       5.5         411.54      -74.7       174.666     74.7        174.666     -78.1       -71.2       75.083      275.308     71.2        78.1        275.308     75.083      -80.6       -74.7       -68.7       43.725      174.666     306.502     68.7        74.7        80.6        306.502     174.666     43.725      1.715       eq25
15X15       10.0        319.27      -78.3       139.726     78.3        139.726     -81.9       -74.8       65.507      210.128     74.8        81.9        210.128     65.507      -84.5       -78.3       -72.1       42.394      139.726     234.0       72.1        78.3        84.5        234.0       139.726     42.394      1.668       lt25
15X15       15.0        257.78      -82.4       113.254     82.4        113.254     -86.2       -78.6       56.656      168.994     78.6        86.2        168.994     56.656      -88.9       -82.4       -75.8       39.58       113.254     187.144     75.8        82.4        88.9        187.144     113.254     39.58       2.104       eq25
15X15       20.0        190.6       -86.5       85.086      86.5        85.086      -90.4       -82.5       44.799      125.02      82.5        90.4        125.02      44.799      -93.3       -86.5       -79.6       32.296      85.086      137.508     79.6        86.5        93.3        137.508     85.086      32.296      1.874       eq25
15X15       25.0        141.66      -90.6       63.518      90.6        63.518      -94.7       -86.4       34.264      92.484      86.4        94.7        92.484      34.264      -97.7       -90.6       -83.4       25.541      63.518      101.552     83.4        90.6        97.7        101.552     63.518      25.541      1.575       eq25
15X15       28.5        116.04      -93.3       52.558      93.3        52.558      -97.5       -89.1       28.547      75.582      89.1        97.5        75.582      28.547      -100.5      -93.3       -86.0       21.545      52.558      82.922      86.0        93.3        100.5       82.922      52.558      21.545      1.147       lt25
20X20       2.0         /
20X20       5.5         458.03      -99.9       177.052     99.9        177.052     -103.3      -96.4       79.636      276.36      96.4        103.3       276.36      79.636      -105.8      -99.9       -93.9       48.335      177.052     307.308     93.9        99.9        105.8       307.308     177.052     48.335      2.091       eq25
20X20       10.0        356.9       -104.8      140.888     104.8       140.888     -108.4      -101.1      69.56       213.042     101.1       108.4       213.042     69.56       -111.1      -104.8      -98.4       46.696      140.888     235.912     98.4        104.8       111.1       235.912     140.888     46.696      2.391       eq25
20X20       15.0        267.62      -110.3      107.676     110.3       107.676     -114.1      -106.5      56.62       158.02      106.5       114.1       158.02      56.62       -116.9      -110.3      -103.7      40.79       107.676     173.582     103.7       110.3       116.9       173.582     107.676     40.79       2.34        eq25
