FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         452.38      -20.0       227.36      20.0        227.36      -23.1       -17.0       78.329      370.13      17.0        23.1        370.13      78.329      -25.3       -20.0       -14.8       31.203      227.36      417.35      14.8        20.0        25.3        417.35      227.36      31.203      0.381       eq25
04X04       5.5         432.77      -20.7       216.724     20.7        216.724     -24.0       -17.4       78.436      355.808     17.4        24.0        355.808     78.436      -26.4       -20.7       -15.0       33.17       216.724     402.39      15.0        20.7        26.4        402.39      216.724     33.17       0.617       eq25
04X04       10.0        314.98      -21.7       160.474     21.7        160.474     -25.1       -18.3       61.108      258.672     18.3        25.1        258.672     61.108      -27.6       -21.7       -15.8       28.687      160.474     291.24      15.8        21.7        27.6        291.24      160.474     28.687      0.738       eq25
04X04       15.0        222.13      -22.8       114.882     22.8        114.882     -26.3       -19.3       45.404      182.632     19.3        26.3        182.632     45.404      -28.9       -22.8       -16.8       22.555      114.882     204.98      16.8        22.8        28.9        204.98      114.882     22.555      0.708       eq25
04X04       20.0        158.72      -24.0       81.446      24.0        81.446      -27.6       -20.4       32.677      129.992     20.4        27.6        129.992     32.677      -30.2       -24.0       -17.7       17.332      81.446      146.528     17.7        24.0        30.2        146.528     81.446      17.332      0.613       eq25
04X04       25.0        115.02      -25.1       59.665      25.1        59.665      -28.8       -21.4       24.426      94.345      21.4        28.8        94.345      24.426      -31.5       -25.1       -18.7       13.162      59.665      105.71      18.7        25.1        31.5        105.71      59.665      13.162      0.506       eq25
04X04       28.5        93.434      -25.8       48.929      25.8        48.929      -29.6       -22.1       20.062      76.265      22.1        29.6        76.265      20.062      -32.4       -25.8       -19.3       10.863      48.929      85.65       19.3        25.8        32.4        85.65       48.929      10.863      0.437       eq25
07X07       2.0         464.65      -31.9       228.276     31.9        228.276     -35.0       -28.8       82.607      368.944     28.8        35.0        368.944     82.607      -37.3       -31.9       -26.6       34.896      228.276     414.35      26.6        31.9        37.3        414.35      228.276     34.896      0.647       eq25
07X07       5.5         445.24      -33.0       218.04      33.0        218.04      -36.3       -29.6       84.296      353.108     29.6        36.3        353.108     84.296      -38.8       -33.0       -27.2       39.197      218.04      395.942     27.2        33.0        38.8        395.942     218.04      39.197      1.011       eq25
07X07       10.0        329.63      -34.6       164.652     34.6        164.652     -38.1       -31.1       67.131      260.774     31.1        38.1        260.774     67.131      -40.6       -34.6       -28.6       36.144      164.652     291.2       28.6        34.6        40.6        291.2       164.652     36.144      1.051       lt25
07X07       15.0        236.65      -36.4       119.904     36.4        119.904     -40.0       -32.8       51.562      186.778     32.8        40.0        186.778     51.562      -42.6       -36.4       -30.2       29.667      119.904     207.894     30.2        36.4        42.6        207.894     119.904     29.667      1.186       eq25
07X07       20.0        172.71      -38.2       88.466      38.2        88.466      -41.9       -34.5       39.45       136.32      34.5        41.9        136.32      39.45       -44.6       -38.2       -31.8       23.658      88.466      151.752     31.8        38.2        44.6        151.752     88.466      23.658      1.059       eq25
07X07       25.0        125.04      -40.0       64.436      40.0        64.436      -43.9       -36.2       28.816      98.246      36.2        43.9        98.246      28.816      -46.7       -40.0       -33.4       17.922      64.436      109.57      33.4        40.0        46.7        109.57      64.436      17.922      0.91        lt25
07X07       28.5        102.46      -41.3       52.564      41.3        52.564      -45.1       -37.4       24.762      80.473      37.4        45.1        80.473      24.762      -48.0       -41.3       -34.5       15.727      52.564      89.596      34.5        41.3        48.0        89.596      52.564      15.727      0.886       lt25
10X10       2.0         478.66      -47.8       220.004     47.8        220.004     -50.9       -44.6       82.602      358.786     44.6        50.9        358.786     82.602      -53.2       -47.8       -42.4       37.991      220.004     401.95      42.4        47.8        53.2        401.95      220.004     37.991      0.957       eq25
