FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         452.38      -20.05      224.617     20.05       224.617     -23.05      -16.95      79.968      371.594     16.95       23.05       371.594     79.968      -25.35      -20.05      -14.75      30.645      224.617     418.0       14.75       20.05       25.35       418.0       224.617     30.645      0.379       eq25
04X04       5.5         432.77      -20.65      219.158     20.65       219.158     -23.95      -17.35      80.003      357.302     17.35       23.95       357.302     80.003      -26.35      -20.65      -14.95      33.686      219.158     402.817     14.95       20.65       26.35       402.817     219.158     33.686      0.617       eq25
04X04       10.0        314.98      -21.65      162.143     21.65       162.143     -25.05      -18.25      62.153      259.705     18.25       25.05       259.705     62.153      -27.55      -21.65      -15.85      28.986      162.143     290.895     15.85       21.65       27.55       290.895     162.143     28.987      0.738       eq25
04X04       15.0        222.13      -22.85      113.739     22.85       113.739     -26.35      -19.35      44.655      181.954     19.35       26.35       181.954     44.655      -28.85      -22.85      -16.75      22.793      113.739     205.2       16.75       22.85       28.85       205.2       113.739     22.793      0.706       eq25
04X04       20.0        158.72      -23.95      82.246      23.95       82.246      -27.55      -20.35      33.102      130.463     20.35       27.55       130.463     33.102      -30.15      -23.95      -17.75      17.488      82.246      146.35      17.75       23.95       30.15       146.35      82.246      17.488      0.613       eq25
04X04       25.0        115.02      -25.05      60.218      25.05       60.218      -28.75      -21.35      24.737      94.666      21.35       28.75       94.666      24.737      -31.45      -25.05      -18.65      13.285      60.218      105.83      18.65       25.05       31.45       105.83      60.218      13.285      0.506       eq25
04X04       28.5        93.434      -25.85      48.49       25.85       48.49       -29.65      -22.05      19.813      76.539      22.05       29.65       76.539      19.813      -32.35      -25.85      -19.25      10.953      48.49       85.754      19.25       25.85       32.35       85.754      48.49       10.953      0.436       eq25
07X07       2.0         464.65      -31.95      225.563     31.95       225.563     -35.05      -28.85      81.075      367.398     28.85       35.05       367.398     81.075      -37.35      -31.95      -26.55      34.352      225.563     414.975     26.55       31.95       37.35       414.975     225.563     34.352      0.646       eq25
07X07       5.5         445.24      -32.95      220.358     32.95       220.358     -36.35      -29.65      82.767      351.697     29.65       36.35       351.697     82.767      -38.75      -32.95      -27.15      39.638      220.358     396.464     27.15       32.95       38.75       396.464     220.358     39.638      1.011       eq25
07X07       10.0        329.63      -34.65      163.038     34.65       163.038     -38.05      -31.15      68.093      259.766     31.15       38.05       259.766     68.093      -40.65      -34.65      -28.55      35.857      163.038     291.59      28.55       34.65       40.65       291.59      163.038     35.857      1.051       lt25
07X07       15.0        236.65      -36.45      118.812     36.45       118.812     -40.05      -32.85      50.93       186.171     32.85       40.05       186.171     50.93       -42.65      -36.45      -30.25      29.471      118.812     207.62      30.25       36.45       42.65       207.62      118.812     29.471      1.183       eq25
07X07       20.0        172.71      -38.25      87.701      38.25       87.701      -41.95      -34.55      38.963      135.862     34.55       41.95       135.862     38.963      -44.65      -38.25      -31.85      23.511      87.701      151.584     31.85       38.25       44.65       151.584     87.701      23.511      1.051       lt25
