FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         407.3       -19.75      203.24      19.75       203.24      -22.75      -16.75      70.434      336.1       16.75       22.75       336.1       70.434      -24.75      -19.75      -14.75      30.063      203.24      376.985     14.75       19.75       24.75       376.985     203.24      30.063      0.335       eq25
04X04       5.5         325.41      -20.75      156.2       20.75       156.2       -23.75      -17.25      58.309      272.12      17.25       23.75       272.12      58.309      -25.75      -20.75      -15.25      29.55       156.2       300.66      15.25       20.75       25.75       300.66      156.2       29.55       0.49        eq25
04X04       10.0        240.53      -21.75      116.8       21.75       116.8       -24.75      -18.25      48.106      199.355     18.25       24.75       199.355     48.106      -27.25      -21.75      -15.75      23.791      116.8       223.53      15.75       21.75       27.25       223.53      116.8       23.791      0.571       eq25
04X04       15.0        196.26      -22.75      102.531     22.75       102.531     -26.25      -19.25      40.906      163.75      19.25       26.25       163.75      40.906      -28.75      -22.75      -16.75      21.95       102.531     182.04      16.75       22.75       28.75       182.04      102.531     21.95       0.64        eq25
04X04       20.0        140.52      -23.75      75.596      23.75       75.596      -27.25      -20.25      31.959      116.175     20.25       27.25       116.175     31.959      -30.25      -23.75      -17.75      15.942      75.596      129.255     17.75       23.75       30.25       129.255     75.596      15.942      0.559       eq25
04X04       25.0        101.09      -25.25      50.785      25.25       50.785      -28.75      -21.25      21.822      84.085      21.25       28.75       84.085      21.822      -31.25      -25.25      -18.75      12.677      50.785      93.088      18.75       25.25       31.25       93.088      50.785      12.677      0.452       eq25
04X04       28.5        81.875      -25.75      43.107      25.75       43.107      -29.25      -22.25      19.276      66.231      22.25       29.25       66.231      19.276      -32.25      -25.75      -19.25      10.303      43.107      75.562      19.25       25.75       32.25       75.562      43.107      10.303      0.387       eq25
07X07       2.0         416.58      -31.75      211.16      31.75       211.16      -34.75      -28.75      79.907      335.76      28.75       34.75       335.76      79.907      -37.25      -31.75      -26.75      30.811      211.16      372.785     26.75       31.75       37.25       372.785     211.16      30.811      0.573       eq25
07X07       5.5         342.79      -33.25      166.37      33.25       166.37      -36.25      -29.75      68.614      276.035     29.75       36.25       276.035     68.614      -38.75      -33.25      -27.75      33.108      166.37      302.695     27.75       33.25       38.75       302.695     166.37      33.108      0.825       eq25
07X07       10.0        256.96      -34.75      130.35      34.75       130.35      -38.25      -31.25      52.014      205.99      31.25       38.25       205.99      52.014      -40.75      -34.75      -29.25      29.63       130.35      225.095     29.25       34.75       40.75       225.095     130.35      29.63       1.014       eq25
07X07       15.0        212.97      -36.75      107.605     36.75       107.605     -40.25      -33.25      47.953      166.925     33.25       40.25       166.925     47.953      -42.75      -36.75      -30.75      28.819      107.605     185.985     30.75       36.75       42.75       185.985     107.605     28.819      1.084       eq25
07X07       20.0        152.71      -38.75      75.553      38.75       75.553      -42.25      -34.75      35.206      121.38      34.75       42.25       121.38      35.206      -44.75      -38.75      -32.25      22.553      75.553      133.83      32.25       38.75       44.75       133.83      75.553      22.553      0.965       eq25
07X07       25.0        110.82      -40.25      58.619      40.25       58.619      -44.25      -36.75      25.957      86.274      36.75       44.25       86.274      25.957      -46.75      -40.25      -33.75      17.163      58.619      97.16       33.75       40.25       46.75       97.16       58.619      17.163      0.819       lt25
07X07       28.5        89.903      -41.75      45.582      41.75       45.582      -45.25      -37.75      22.576      70.961      37.75       45.25       70.961      22.576      -48.25      -41.75      -34.75      14.066      45.582      78.978      34.75       41.75       48.25       78.978      45.582      14.066      0.723       lt25
10X10       2.0         424.81      -47.75      196.44      47.75       196.44      -50.75      -44.75      76.517      315.17      44.75       50.75       315.17      76.517      -53.25      -47.75      -42.25      33.152      196.44      359.76      42.25       47.75       53.25       359.76      196.44      33.152      0.861       eq25
10X10       5.5         354.55      -49.75      161.905     49.75       161.905     -52.75      -46.25      70.939      264.635     46.25       52.75       264.635     70.939      -55.25      -49.75      -43.75      37.477      161.905     295.17      43.75       49.75       55.25       295.17      161.905     37.477      1.188       eq25
10X10       10.0        271.45      -52.25      124.735     52.25       124.735     -55.25      -48.75      61.028      198.54      48.75       55.25       198.54      61.028      -57.75      -52.25      -46.25      36.498      124.735     221.39      46.25       52.25       57.75       221.39      124.735     36.498      1.386       eq25
10X10       15.0        225.01      -55.25      107.03      55.25       107.03      -58.75      -51.25      52.099      167.38      51.25       58.75       167.38      52.099      -61.75      -55.25      -48.75      32.68       107.03      183.695     48.75       55.25       61.75       183.695     107.03      32.68       1.55        eq25
10X10       20.0        162.89      -57.75      81.159      57.75       81.159      -61.75      -54.25      38.356      118.18      54.25       61.75       118.18      38.356      -64.75      -57.75      -51.25      25.843      81.159      132.34      51.25       57.75       64.75       132.34      81.159      25.843      1.368       eq25
10X10       25.0        119.72      -60.75      57.577      60.75       57.577      -64.75      -56.75      28.562      87.177      56.75       64.75       87.177      28.562      -67.25      -60.75      -53.75      21.044      57.577      96.945      53.75       60.75       67.25       96.945      57.577      21.044      1.139       eq25
10X10       28.5        97.136      -62.25      48.968      62.25       48.968      -66.25      -58.25      24.997      71.486      58.25       66.25       71.486      24.997      -69.25      -62.25      -55.25      17.37       48.968      78.719      55.25       62.25       69.25       78.719      48.968      17.37       0.984       eq25
15X15       2.0         433.32      -71.75      188.76      71.75       188.76      -75.25      -68.75      66.281      292.135     68.75       75.25       292.135     66.281      -77.25      -71.75      -66.25      37.083      188.76      329.295     66.25       71.75       77.25       329.295     188.76      37.083      1.194       eq25
15X15       5.5         364.39      -74.75      154.965     74.75       154.965     -78.25      -71.25      63.581      245.825     71.25       78.25       245.825     63.581      -80.25      -74.75      -68.75      41.255      154.965     271.83      68.75       74.75       80.25       271.83      154.965     41.255      1.554       eq25
15X15       10.0        283.39      -78.25      126.225     78.25       126.225     -81.75      -74.75      59.998      188.16      74.75       81.75       188.16      59.998      -84.25      -78.25      -72.25      39.216      126.225     206.99      72.25       78.25       84.25       206.99      126.225     39.216      1.797       eq25
15X15       15.0        242.91      -83.25      105.465     83.25       105.465     -86.75      -79.25      55.602      160.315     79.25       86.75       160.315     55.602      -89.75      -83.25      -76.25      37.584      105.465     177.345     76.25       83.25       89.75       177.345     105.465     37.584      2.006       eq25
15X15       20.0        179.42      -87.25      79.993      87.25       79.993      -91.25      -83.25      41.593      117.42      83.25       91.25       117.42      41.593      -94.25      -87.25      -80.25      30.412      79.993      129.3       80.25       87.25       94.25       129.3       79.993      30.412      1.792       eq25
15X15       25.0        132.62      -91.25      60.291      91.25       60.291      -95.25      -87.25      33.145      86.436      87.25       95.25       86.436      33.145      -98.25      -91.25      -84.25      24.662      60.291      94.812      84.25       91.25       98.25       94.812      60.291      24.662      1.506       eq25
15X15       28.5        108.28      -93.75      50.643      93.75       50.643      -98.25      -89.75      26.737      70.766      89.75       98.25       70.766      26.737      -101.25     -93.75      -86.75      20.464      50.643      77.214      86.75       93.75       101.25      77.214      50.643      20.464      1.301       eq25
20X20       2.0         436.21      -96.25      169.325     96.25       169.325     -99.25      -93.25      72.904      263.835     93.25       99.25       263.835     72.904      -101.75     -96.25      -90.75      37.058      169.325     297.875     90.75       96.25       101.75      297.875     169.325     37.058      1.417       eq25
20X20       5.5         371.23      -100.25     140.935     100.25      140.935     -103.25     -96.75      68.66       223.205     96.75       103.25      223.205     68.66       -105.75     -100.25     -94.25      41.496      140.935     247.545     94.25       100.25      105.75      247.545     140.935     41.496      1.775       eq25
