FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         452.38      -20.25      213.645     20.25       213.645     -23.25      -16.75      73.412      377.45      16.75       23.25       377.45      73.412      -25.25      -20.25      -14.75      31.761      213.645     418.0       14.75       20.25       25.25       418.0       213.645     31.761      0.374       eq25
04X04       5.5         432.77      -20.75      214.29      20.75       214.29      -23.75      -17.25      86.273      360.29      17.25       23.75       360.29      86.273      -26.25      -20.75      -14.75      34.718      214.29      404.525     14.75       20.75       26.25       404.525     214.29      34.718      0.606       eq25
04X04       10.0        314.98      -21.75      158.805     21.75       158.805     -25.25      -18.25      57.975      259.705     18.25       25.25       259.705     57.975      -27.75      -21.75      -15.75      27.788      158.805     291.585     15.75       21.75       27.75       291.585     158.805     27.788      0.732       eq25
04X04       15.0        222.13      -22.75      116.025     22.75       116.025     -26.25      -19.25      46.154      183.31      19.25       26.25       183.31      46.154      -28.75      -22.75      -16.75      23.271      116.025     205.2       16.75       22.75       28.75       205.2       116.025     23.271      0.703       eq25
04X04       20.0        158.72      -23.75      85.448      23.75       85.448      -27.75      -20.25      31.401      131.405     20.25       27.75       131.405     31.401      -30.25      -23.75      -17.75      17.175      85.448      146.35      17.75       23.75       30.25       146.35      85.448      17.175      0.613       eq25
04X04       25.0        115.02      -25.25      58.007      25.25       58.007      -28.75      -21.25      24.737      95.309      21.25       28.75       95.309      24.737      -31.25      -25.25      -18.75      13.776      58.007      105.59      18.75       25.25       31.25       105.59      58.007      13.776      0.499       eq25
04X04       28.5        93.434      -25.75      49.368      25.75       49.368      -29.75      -22.25      19.314      75.442      22.25       29.75       75.442      19.314      -32.25      -25.75      -19.25      11.134      49.368      85.754      19.25       25.75       32.25       85.754      49.368      11.134      0.434       eq25
07X07       2.0         464.65      -31.75      236.415     31.75       236.415     -35.25      -28.75      74.947      370.49      28.75       35.25       370.49      74.947      -37.25      -31.75      -26.75      35.44       236.415     412.475     26.75       31.75       37.25       412.475     236.415     35.44       0.646       eq25
07X07       5.5         445.24      -32.75      229.63      32.75       229.63      -36.25      -29.75      85.825      348.875     29.75       36.25       348.875     85.825      -38.75      -32.75      -27.25      39.638      229.63      395.42      27.25       32.75       38.75       395.42      229.63      39.638      1.011       eq25
07X07       10.0        329.63      -34.75      159.81      34.75       159.81      -38.25      -31.25      64.244      257.75      31.25       38.25       257.75      64.244      -40.75      -34.75      -28.75      35.283      159.81      290.03      28.75       34.75       40.75       290.03      159.81      35.283      1.192       eq25
07X07       15.0        236.65      -36.25      123.18      36.25       123.18      -40.25      -32.75      48.403      187.385     32.75       40.25       187.385     48.403      -42.75      -36.25      -30.25      29.079      123.18      207.62      30.25       36.25       42.75       207.62      123.18      29.079      1.183       eq25
07X07       20.0        172.71      -38.25      87.702      38.25       87.702      -41.75      -34.75      40.909      134.03      34.75       41.75       134.03      40.909      -44.75      -38.25      -31.75      23.219      87.702      151.92      31.75       38.25       44.75       151.92      87.702      23.219      1.051       eq25
07X07       25.0        125.04      -40.25      61.803      40.25       61.803      -43.75      -36.25      29.822      97.938      36.25       43.75       97.938      29.822      -46.75      -40.25      -33.25      17.819      61.803      109.945     33.25       40.25       46.75       109.945     61.803      17.819      0.91        lt25
07X07       28.5        102.46      -41.25      52.995      41.25       52.995      -45.25      -37.25      24.087      81.132      37.25       45.25       81.132      24.087      -47.75      -41.25      -34.75      16.195      52.995      89.059      34.75       41.25       47.75       89.059      52.995      16.195      0.886       lt25
10X10       2.0         478.66      -47.75      222.535     47.75       222.535     -50.75      -44.75      87.806      354.22      44.75       50.75       354.22      87.806      -53.25      -47.75      -42.25      37.544      222.535     403.63      42.25       47.75       53.25       403.63      222.535     37.544      0.951       eq25
10X10       5.5         457.79      -49.25      221.345     49.25       221.345     -52.75      -46.25      87.066      335.0       46.25       52.75       335.0       87.066      -55.25      -49.25      -43.75      44.425      221.345     380.285     43.75       49.25       55.25       380.285     221.345     44.425      1.446       eq25
10X10       10.0        348.39      -51.75      169.275     51.75       169.275     -55.25      -48.25      74.608      259.53      48.25       55.25       259.53      74.608      -57.75      -51.75      -45.75      43.651      169.275     287.46      45.75       51.75       57.75       287.46      169.275     43.651      1.715       eq25
10X10       15.0        253.72      -54.75      118.795     54.75       118.795     -58.25      -50.75      56.216      189.125     50.75       58.25       189.125     56.216      -60.75      -54.75      -48.25      36.359      118.795     207.625     48.25       54.75       60.75       207.625     118.795     36.359      1.689       eq25
10X10       20.0        185.86      -57.25      90.944      57.25       90.944      -61.25      -53.75      41.842      134.235     53.75       61.25       134.235     41.842      -63.75      -57.25      -50.75      29.095      90.944      150.795     50.75       57.25       63.75       150.795     90.944      29.095      1.502       eq25
10X10       25.0        137.29      -59.75      69.88       59.75       69.88       -63.75      -56.25      34.086      99.614      56.25       63.75       99.614      34.086      -66.75      -59.75      -53.25      22.752      69.88       111.155     53.25       59.75       66.75       111.155     69.88       22.752      1.269       eq25
