FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         426.97      -19.75      222.8       19.75       222.8       -23.0       -17.0       73.471      347.52      17.0        23.0        347.52      73.471      -23.25      -22.75      -16.75      66.462      82.665      354.7       16.75       22.75       23.25       354.7       82.665      66.462      0.365       eq25
04X04       5.5         376.59      -20.25      207.935     20.25       207.935     -24.0       -17.0       67.461      320.65      17.0        24.0        320.65      67.461      -17.75      -17.25      -16.75      300.805     314.25      325.35      16.75       17.25       17.75       325.35      314.25      300.805     0.555       eq25
04X04       10.0        276.25      -22.25      124.46      22.25       124.46      -24.5       -17.5       64.899      239.96      17.5        24.5        239.96      64.899      -24.75      -24.25      0.25        60.203      70.877      276.035     -0.25       24.25       24.75       276.035     70.877      60.203      0.64        eq25
04X04       15.0        209.64      -23.75      89.412      23.75       89.412      -25.5       -19.5       55.974      170.86      19.5        25.5        170.86      55.974      -37.25      -23.75      -16.75      10.692      89.412      193.71      16.75       23.75       37.25       193.71      89.412      10.692      0.65        eq25
04X04       20.0        149.87      -25.25      59.562      23.25       88.596      -28.5       -21.0       24.764      117.42      21.0        28.5        117.42      24.764      -28.75      -26.25      -9.25       23.483      46.327      148.16      -9.75       26.25       28.75       147.945     46.327      23.483      0.555       eq25
04X04       25.0        108.45      -24.75      60.203      24.75       60.203      -28.5       -23.0       25.618      77.282      21.0        28.5        91.372      25.618      -32.25      -31.75      -18.75      11.742      12.596      99.484      18.75       31.75       31.25       99.484      12.596      13.663      0.47        eq25
04X04       28.5        87.956      -26.25      42.697      26.25       42.697      -30.0       -22.5       17.506      70.023      22.5        30.0        70.023      17.506      -30.25      -29.75      1.75        16.652      18.787      87.743      -12.75      29.75       30.25       86.035      18.787      16.652      0.427       eq25
07X07       2.0         437.22      -31.75      222.91      31.75       222.91      -35.0       -29.0       78.093      342.98      29.0        35.0        342.98      78.093      -36.25      -34.75      -28.75      47.525      86.984      350.03      28.75       34.75       36.25       350.03      86.984      47.525      0.612       eq25
07X07       5.5         391.75      -33.25      187.785     33.25       187.785     -37.0       -30.0       61.211      305.18      29.0        37.0        327.04      61.211      -38.25      -30.25      -28.75      42.41       297.965     330.755     28.75       29.25       29.75       330.755     321.795     310.865     0.918       eq25
07X07       10.0        292.06      -35.25      131.825     35.25       131.825     -39.5       -32.0       42.41       217.74      32.0        39.5        217.74      42.41       -42.75      -48.75      -30.75      25.796      17.489      238.5       -30.25      48.75       42.75       244.84      17.489      25.796      1.137       lt25
07X07       15.0        225.17      -36.75      111.055     36.75       111.055     -39.5       -33.0       59.462      177.51      32.0        39.5        187.57      59.462      -57.75      -55.25      -31.75      13.117      14.21       189.32      31.75       58.25       51.25       189.32      12.898      16.614      1.137       eq25
07X07       20.0        162.65      -38.75      78.481      38.75       78.481      -42.0       -33.0       38.475      139.04      33.0        42.0        139.04      38.475      -55.75      -55.25      -32.75      12.679      12.898      139.91      32.75       55.25       50.75       139.91      12.898      15.303      1.006       lt25
07X07       25.0        118.05      -40.25      60.773      40.25       60.773      -44.0       -35.5       28.419      97.5        35.5        44.0        97.5        28.419      -48.25      -48.75      -28.75      15.521      14.866      109.74      28.75       48.75       48.25       109.74      14.866      15.521      0.874       lt25
07X07       28.5        96.188      -42.75      39.569      40.75       55.309      -45.0       -37.5       24.922      76.076      37.5        45.0        76.076      24.922      -54.25      -53.75      16.75       10.493      10.712      94.221      -22.75      53.75       53.25       92.472      10.712      10.931      0.831       lt25
10X10       2.0         447.29      -48.25      184.505     48.25       184.505     -51.0       -44.0       74.25       351.57      44.0        51.0        351.57      74.25       -44.75      -44.25      -43.75      331.22      344.86      356.045     43.75       44.25       44.75       356.045     344.86      331.22      0.895       eq25
10X10       5.5         403.46      -49.75      182.27      49.75       182.27      -53.0       -46.0       74.697      305.05      46.0        53.0        305.05      74.697      -55.25      -46.25      -45.75      42.045      299.01      309.3       45.75       46.25       55.25       309.3       299.01      42.045      1.297       eq25
10X10       10.0        307.74      -52.75      127.03      51.75       153.87      -54.5       -48.5       83.643      227.67      48.5        54.5        227.67      83.643      -57.75      -54.25      -0.25       40.704      89.458      307.96      0.25        54.25       57.75       307.96      89.458      40.704      1.521       eq25
10X10       15.0        240.19      -54.75      118.08      54.75       118.08      -58.5       -52.5       54.569      158.79      52.5        58.5        158.79      54.569      -62.25      -52.75      -30.75      31.758      154.54      224.99      30.75       52.75       62.25       224.99      154.54      31.758      1.61        eq25
10X10       20.0        174.89      -58.25      76.263      56.75       96.391      -59.5       -51.5       60.384      140.45      51.5        59.5        140.45      60.384      -68.25      -67.75      -51.25      21.917      22.364      141.12      51.25       67.75       68.25       141.12      22.364      21.917      1.431       eq25
10X10       25.0        129.27      -60.75      59.266      59.75       68.659      -65.5       -57.0       25.943      90.8        57.0        65.5        90.8        25.943      -68.25      -87.75      1.75        20.352      11.406      129.045     -1.75       68.75       68.25       129.045     19.681      20.352      1.208       eq25
10X10       28.5        105.11      -61.75      54.346      61.75       54.346      -28.5       -28.0       100.19      100.64      8.5         9.0         104.67      104.22      -54.25      -28.25      2.75        86.103      100.415     104.89      -26.75      8.75        54.25       100.865     104.445     86.103      1.029       eq25
15X15       2.0         456.09      -71.75      197.715     71.75       197.715     -75.0       -69.0       75.255      301.02      69.0        75.0        301.02      75.255      -75.25      -75.75      -68.75      69.554      58.608      307.175     68.75       74.75       75.25       307.175     82.78       69.554      1.231       eq25
15X15       5.5         416.41      -75.25      153.705     74.25       188.365     -77.0       -71.0       98.515      282.32      71.0        77.0        282.32      98.515      -71.75      -71.25      -70.75      265.445     276.845     286.425     70.75       71.25       71.75       286.425     276.845     265.445     1.688       eq25
15X15       10.0        322.46      -78.75      127.02      78.75       127.02      -83.5       -73.5       46.977      226.68      73.5        83.5        226.68      46.977      -83.75      -73.75      -73.25      45.609      223.94      228.505     73.25       73.75       83.75       228.505     223.94      45.609      1.961       eq25
15X15       15.0        256.78      -82.75      108.775     82.25       117.445     -85.0       -79.0       72.062      166.02      79.0        85.0        166.02      72.062      -85.25      -84.75      48.25       68.87       75.939      228.5       -48.25      84.75       85.25       228.5       75.939      68.87       2.098       eq25
