FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         422.5       -19.75      224.52      19.75       224.52      -23.0       -17.0       77.033      345.01      17.0        23.0        345.01      77.033      -23.25      -22.75      -16.75      70.219      86.454      351.625     16.75       22.75       23.25       351.625     86.454      70.219      0.382       eq25
04X04       5.5         372.56      -20.75      190.22      20.75       190.22      -24.0       -18.0       72.265      292.6       18.0        24.0        292.6       72.265      -18.75      -18.25      -17.75      268.32      284.59      298.885     17.75       18.25       18.75       298.885     284.59      268.32      0.577       eq25
04X04       10.0        273.53      -21.75      142.2       21.75       142.2       -26.0       -19.5       42.811      202.65      19.5        26.0        202.65      42.811      -26.25      -25.75      -15.75      40.001      46.77       253.13      15.75       25.75       26.25       253.13      46.77       40.001      0.672       eq25
04X04       15.0        211.36      -23.25      102.986     23.25       102.986     -28.0       -20.5       29.231      157.24      20.5        28.0        157.24      29.231      -28.25      -20.75      -20.25      27.78       152.735     160.955     20.25       20.75       28.25       160.955     152.735     27.78       0.682       eq25
04X04       20.0        151.2       -24.25      76.314      24.25       76.314      -28.0       -21.5       30.593      113.37      21.5        28.0        113.37      30.593      -29.25      -21.75      -21.25      22.515      110.335     115.91      21.25       21.75       29.25       115.91      110.335     22.515      0.592       eq25
04X04       25.0        109.46      -24.75      61.968      24.75       61.968      -28.5       -21.0       27.462      91.974      21.0        28.5        91.974      27.462      -27.75      -26.75      -20.75      33.223      42.165      93.125      20.75       26.75       27.75       93.125      42.165      33.223      0.498       eq25
04X04       28.5        88.718      -26.75      40.362      26.75       40.362      -30.5       -23.0       16.874      68.039      23.0        30.5        68.039      16.874      -30.75      -24.25      -22.75      16.014      59.876      69.331      22.75       24.25       30.75       69.331      59.876      16.014      0.413       eq25
07X07       2.0         431.75      -32.25      197.575     32.25       197.575     -36.0       -29.0       54.163      338.19      29.0        36.0        338.19      54.163      -36.25      -29.25      -28.75      49.659      329.565     344.9       28.75       29.25       36.25       344.9       329.565     49.659      0.609       eq25
07X07       5.5         388.12      -33.75      171.045     33.75       171.045     -37.0       -30.0       65.732      303.75      30.0        37.0        303.75      65.732      -30.75      -31.25      -29.75      282.725     266.73      309.18      29.75       31.25       30.75       309.18      266.73      282.725     0.913       eq25
07X07       10.0        290.85      -34.75      148.73      34.75       148.73      -38.0       -32.0       67.141      217.61      32.0        38.0        217.61      67.141      -38.25      -37.75      -29.75      63.015      72.368      248.5       29.75       37.75       38.25       248.5       72.368      63.015      1.106       eq25
07X07       15.0        226.66      -37.25      103.198     37.25       103.198     -41.0       -34.5       43.305      157.1       34.5        41.0        157.1       43.305      -42.25      -34.75      -34.25      33.684      152.51      160.955     34.25       34.75       42.25       160.955     152.51      33.684      1.126       eq25
07X07       20.0        163.48      -39.25      73.014      38.75       80.115      -43.0       -36.5       32.54       110.49      36.5        43.0        110.49      32.54       -44.25      -36.75      -36.25      26.05       107.24      113.23      36.25       36.75       44.25       113.23      107.24      26.05       1.001       lt25
07X07       25.0        118.84      -40.25      62.053      40.25       62.053      -45.0       -37.5       24.501      86.498      37.5        45.0        86.498      24.501      -45.25      -37.75      -37.25      23.523      84.542      88.143      37.25       37.75       45.25       88.143      84.542      23.523      0.875       lt25
07X07       28.5        96.716      -41.25      52.058      41.25       52.058      -46.0       -38.5       21.432      71.135      38.5        46.0        71.135      21.432      -47.25      -39.75      -38.25      17.386      63.286      72.368      38.25       39.75       47.25       72.368      63.286      17.386      0.778       lt25
10X10       2.0         439.74      -47.75      206.385     47.75       206.385     -51.0       -45.0       74.841      318.96      45.0        51.0        318.96      74.841      -51.25      -50.75      -44.75      69.034      83.126      325.465     44.75       50.75       51.25       325.465     83.126      69.034      0.905       eq25
10X10       5.5         399.84      -49.75      185.93      49.25       204.77      -53.5       -46.0       68.066      303.61      46.0        53.5        303.61      68.066      -46.75      -46.25      -45.75      286.045     297.86      307.75      45.75       46.25       46.75       307.75      297.86      286.045     1.302       eq25
10X10       10.0        304.92      -52.25      142.67      52.25       142.67      -55.0       -48.5       76.676      226.05      48.5        55.0        226.05      76.676      -49.25      -48.75      -48.25      213.435     221.975     229.185     48.25       48.75       49.25       229.185     221.975     213.435     1.524       eq25
10X10       15.0        242.57      -55.25      110.125     55.25       110.125     -58.0       -51.5       62.508      173.82      50.5        58.0        184.13      62.508      -58.25      -57.75      -50.25      59.508      66.368      185.97      50.25       57.75       58.25       185.97      66.368      59.508      1.613       eq25
10X10       20.0        176.92      -57.75      84.763      57.75       84.763      -61.0       -54.5       46.298      123.38      54.5        61.0        123.38      46.298      -61.25      -61.75      -54.25      44.302      40.428      125.42      54.25       61.75       61.25       125.42      40.428      44.302      1.449       eq25
10X10       25.0        130.54      -60.25      65.471      60.25       65.471      -63.5       -58.0       37.569      85.132      58.0        63.5        85.132      37.569      -63.75      -58.25      -57.75      36.026      83.137      86.842      57.75       58.25       63.75       86.842      83.137      36.026      1.224       eq25
10X10       28.5        106.3       -62.25      51.849      62.25       51.849      -66.5       -59.0       25.595      73.533      59.0        66.5        73.533      25.595      -66.75      -66.25      -58.75      24.724      26.727      74.656      58.75       66.25       66.75       74.656      26.727      24.724      1.048       eq25
15X15       2.0         449.05      -71.75      194.155     71.75       194.155     -75.0       -69.0       74.846      295.06      69.0        75.0        295.06      74.846      -76.25      -69.25      -68.75      49.865      287.385     301.115     68.75       69.25       76.25       301.115     287.385     49.865      1.244       eq25
15X15       5.5         411.54      -75.25      156.06      75.25       156.06      -78.5       -72.0       67.125      258.23      72.0        78.5        258.23      67.125      -78.75      -77.25      -71.75      63.294      94.865      263.745     71.75       77.25       78.75       263.745     94.865      63.294      1.672       eq25
15X15       10.0        319.27      -78.75      128.975     78.75       128.975     -82.0       -75.5       63.975      200.15      75.5        82.0        200.15      63.975      -82.25      -75.75      -75.25      60.944      195.56      203.795     75.25       75.75       82.25       203.795     195.56      60.944      1.945       eq25
15X15       15.0        257.78      -82.25      115.945     82.25       115.945     -86.0       -79.5       58.548      159.16      79.5        86.0        159.16      58.548      -86.25      -85.75      -79.25      56.183      61.522      161.985     79.25       85.75       86.25       161.985     61.522      56.183      2.099       eq25
15X15       20.0        190.6       -86.75      82.078      86.75       82.078      -90.5       -83.0       44.047      121.6       83.0        90.5        121.6       44.047      -91.75      -88.25      -33.75      37.332      64.562      180.255     33.75       88.25       91.75       180.255     64.562      37.332      1.854       eq25
15X15       25.0        141.66      -89.75      70.561      89.75       70.561      -94.5       -87.0       35.13       89.759      87.0        94.5        89.759      35.13       -94.75      -94.25      -86.75      34.047      36.589      90.896      86.75       94.25       94.75       90.896      36.589      34.047      1.596       eq25
15X15       28.5        116.04      -93.75      49.507      93.75       49.507      -97.5       -90.0       28.547      72.021      90.0        97.5        72.021      28.547      -97.75      -97.25      -89.75      27.754      29.617      73.013      89.75       97.25       97.75       73.013      29.617      27.754      1.344       eq25
20X20       2.0         /
20X20       5.5         458.03      -99.75      182.08      99.75       182.08      -103.5      -96.0       75.292      284.2       96.0        103.5       284.2       75.292      -103.75     -96.25      -95.75      71.297      279.3       287.705     95.75       96.25       103.75      287.705     279.3       71.297      2.084       eq25
