FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
04X04       2.0         452.38      -19.75      241.3       19.75       241.3       -23.5       -17.0       65.217      370.13      17.0        23.5        370.13      65.217      -25.25      -19.75      -16.75      31.761      241.3       377.45      16.75       19.75       25.25       377.45      241.3       31.761      0.381       eq25
04X04       5.5         432.77      -20.75      214.29      20.75       214.29      -24.5       -17.0       63.678      367.76      17.0        24.5        367.76      63.678      -23.75      -23.25      -16.75      86.273      103.864     373.175     16.75       23.25       23.75       373.175     103.864     86.273      0.606       eq25
04X04       10.0        314.98      -21.75      158.805     21.75       158.805     -25.5       -18.0       52.754      264.87      18.0        25.5        264.87      52.754      -25.75      -25.25      -17.75      48.892      57.975      268.845     17.75       25.25       25.75       268.845     57.975      48.892      0.732       eq25
04X04       15.0        222.13      -22.75      116.025     22.75       116.025     -26.5       -19.0       42.408      186.7       19.0        26.5        186.7       42.408      -25.75      -25.25      -18.75      53.864      62.626      189.365     18.75       25.25       25.75       189.365     62.626      53.864      0.703       eq25
04X04       20.0        158.72      -23.75      85.448      23.75       85.448      -27.5       -19.0       33.528      140.86      19.0        27.5        140.86      33.528      -27.75      -27.25      -18.75      31.401      36.285      142.035     18.75       27.25       27.75       142.035     36.285      31.401      0.613       eq25
04X04       25.0        115.02      -24.75      63.541      24.75       63.541      -28.5       -21.0       26.29       96.914      21.0        28.5        96.914      26.29       -28.75      -28.25      -20.75      24.737      28.375      98.116      20.75       28.25       28.75       98.116      28.375      24.737      0.508       eq25
04X04       28.5        93.434      -25.75      49.368      25.75       49.368      -29.5       -22.0       20.56       76.813      22.0        29.5        76.813      20.56       -22.75      -23.75      -21.75      72.599      65.811      77.944      21.75       23.75       22.75       77.944      65.811      72.599      0.434       eq25
07X07       2.0         464.65      -31.75      236.415     31.75       236.415     -35.0       -28.0       82.607      391.43      28.0        35.0        391.43      82.607      -37.75      -31.75      -23.25      30.71       236.415     437.14      23.25       31.75       37.75       437.14      236.415     30.71       0.646       eq25
07X07       5.5         445.24      -33.25      206.39      33.25       206.39      -36.5       -30.0       78.18       341.82      30.0        36.5        341.82      78.18       -36.75      -30.25      -28.75      72.228      333.14      373.275     28.75       30.25       36.75       373.275     333.14      72.228      0.988       eq25
07X07       10.0        329.63      -34.25      175.99      34.25       175.99      -38.5       -31.0       59.433      262.79      31.0        38.5        262.79      59.433      -38.75      -32.25      -30.75      55.691      235.085     266.79      30.75       32.25       38.75       266.79      235.085     55.691      1.216       eq25
