FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
10X10       2.0         447.29      -47.75      207.867     47.75       207.867     -52.0       -45.0       62.457      312.941     44.0        51.0        340.225     86.529      -54.5       -47.5       -42.0       30.497      218.48      374.951     40.5        46.0        53.0        388.328     278.865     45.379      0.911       eq25
10X10       5.5         403.46      -49.75      182.738     49.75       182.738     -54.0       -46.0       64.287      295.861     45.0        53.0        314.809     84.049      -56.5       -49.5       -44.0       37.166      191.48      328.635     42.5        48.0        55.0        342.135     242.065     50.056      1.309       eq25
10X10       10.0        308.14      -52.25      140.714     51.75       153.034     -56.5       -49.0       56.806      213.072     48.0        55.5        228.889     70.997      -60.0       -52.5       -46.5       32.937      134.554     245.845     45.0        51.0        58.5        256.255     171.231     39.321      1.537       eq25
10X10       15.0        240.11      -55.25      108.935     55.25       108.935     -59.0       -51.5       53.512      168.506     50.5        58.0        179.363     65.142      -62.5       -56.0       -49.5       32.205      95.801      187.698     48.0        54.5        61.0        196.36      122.231     38.182      1.598       eq25
10X10       20.0        174.89      -57.75      83.176      57.75       83.176      -61.5       -54.5       43.55       119.467     53.5        60.5        127.599     52.089      -65.5       -57.5       -25.5       25.902      86.246      167.815     -28.5       56.0        64.0        166.106     104.137     29.928      1.431       eq25
10X10       25.0        129.106     -60.25      63.84       60.25       63.84       -64.5       -57.5       32.327      85.676      56.5        63.5        91.856      38.101      -69.0       -59.0       -55.0       19.762      74.413      98.932      53.5        57.5        67.5        103.69      85.676      22.08       1.208       eq25
10X10       28.5        105.11      -62.25      50.727      62.25       50.727      -67.0       -57.5       24.276      77.625      56.5        66.0        80.878      28.22       -81.0       -65.0       23.5        11.955      33.181      101.736     -26.5       80.0        79.5        100.924     12.24       12.402      1.037       eq25
15X15       2.0         455.755     -71.75      196.948     71.75       196.948     -76.0       -69.0       63.811      290.611     68.0        75.0        314.659     86.243      -78.5       -73.0       -67.0       33.792      149.639     332.571     65.5        71.5        77.0        349.82      206.526     47.89       1.252       eq25
15X15       5.5         416.075     -74.75      171.512     74.75       171.512     -78.5       -71.5       73.058      263.664     70.5        77.5        283.399     93.375      -80.5       -75.5       -69.0       47.392      148.065     304.13      67.5        74.0        79.0        316.652     195.125     64.848      1.708       eq25
15X15       10.0        322.042     -78.25      139.19      78.25       139.19      -82.5       -75.5       61.323      195.04      73.5        81.5        222.24      74.84       -85.5       -80.0       -71.5       39.597      101.542     237.665     70.0        78.5        84.0        244.465     133.634     47.433      1.99        eq25
15X15       15.0        256.78      -82.25      117.069     82.25       117.069     -88.0       -80.0       46.397      150.468     79.0        87.0        162.409     53.653      -88.5       -83.0       -76.5       43.577      105.066     182.437     75.0        81.5        87.0        189.154     128.907     53.653      2.102       eq25
15X15       20.0        189.73      -86.75      82.802      86.75       82.802      -91.0       -82.0       43.66       126.172     81.0        90.0        131.355     50.626      -97.0       -87.0       -81.5       27.158      80.023      128.95      80.0        85.5        95.5        135.293     96.527      28.982      1.862       eq25
15X15       25.0        140.93      -90.75      62.712      90.75       62.712      -94.5       -87.0       37.109      88.44       86.0        93.5        93.125      42.79       -98.5       -91.5       35.5        24.878      56.887      133.26      36.0        90.0        97.0        133.095     68.538      27.821      1.567       eq25
15X15       28.5        115.097     -93.25      52.927      93.25       52.927      -98.5       -89.5       26.578      72.974      88.5        97.5        76.54       29.978      -110.0      -95.0       -44.5       16.046      42.251      105.897     39.0        93.5        102.5       107.969     51.372      19.819      1.36        eq25
20X20       2.0         460.1       -96.25      172.894     96.25       172.893     -100.0      -93.0       66.296      271.753     92.0        99.0        291.872     87.879      -103.5      -98.0       -91.0       31.37       115.234     306.427     89.5        96.5        102.0       320.146     164.256     40.112      1.464       eq25
20X20       5.5         436.17      -99.75      170.384     99.75       170.384     -104.0      -96.5       68.806      253.431     95.5        103.0       270.705     86.248      -107.0      -101.5      -95.0       41.702      121.007     277.648     93.5        100.0       105.5       292.665     163.085     51.197      2.02        eq25
20X20       10.0        340.01      -104.75     133.178     104.75      133.178     -109.5      -101.0      57.011      199.14      100.0       108.5       210.308     67.718      -111.0      -105.0      -98.5       46.428      128.075     221.978     97.0        103.5       109.5       229.172     158.315     57.011      2.28        eq25
20X20       15.0        265.48      -110.75     101.536     110.75      101.536     -115.5      -107.0      49.44       149.617     106.0       114.5       158.443     56.76       -118.0      -111.5      -106.0      38.983      90.974      158.443     104.5       110.0       116.5       168.105     112.222     44.128      2.317       eq25
20X20       20.0        198.3       -116.25     76.753      116.25      76.753      -120.5      -112.5      42.915      110.132     111.5       118.5       116.407     56.132      -123.5      -115.5      -110.0      32.792      84.156      123.351     108.5       114.0       122.0       127.952     98.252      36.641      2.058       eq25
20X20       25.0        148.15      -121.75     57.701      121.75      57.701      -125.0      -118.5      38.104      78.719      117.5       124.0       83.738      43.291      -133.5      -122.5      -71.5       22.629      52.577      123.854     -34.5       121.0       139.0       141.208     62.908      20.119      1.778       eq25
20X20       28.5        121.47      -125.25     48.269      125.25      48.269      -131.0      -122.0      25.096      64.79       121.0       126.5       68.68       41.534      -128.0      -127.5      34.0        34.424      36.641      116.201     39.5        126.0       126.5       114.561     44.17       41.534      1.627       lt25
24X24       2.0         464.875     -116.25     166.2       116.25      166.2       -120.0      -113.0      66.337      255.557     112.0       119.0       273.205     86.914      -123.5      -118.0      -111.0      32.504      112.72      285.934     109.5       116.5       122.0       297.795     158.272     41.047      1.621       eq25
24X24       5.5         440.099     -120.75     156.578     120.75      156.578     -125.0      -118.0      65.227      223.665     117.0       124.0       241.885     80.699      -127.5      -122.0      -115.5      43.668      123.986     261.584     113.0       120.5       126.0       278.663     163.215     53.982      2.156       eq25
24X24       10.0        344.779     -126.75     123.691     126.75      123.691     -131.5      -123.5      55.124      178.181     122.5       130.5       190.017     64.677      -132.0      -128.0      -121.5      51.361      100.905     199.021     120.0       126.5       135.5       208.195     128.341     38.172      2.376       eq25
24X24       15.0        271.1       -133.25     104.057     133.75      97.589      -137.5      -130.5      56.35       136.205     129.5       137.0       144.998     60.535      -143.0      -133.0      -121.0      35.636      107.291     172.346     -89.5       131.5       138.5       206.842     125.637     49.459      2.536       eq25
24X24       20.0        202.74      -140.25     75.119      140.25      75.119      -145.5      -138.0      38.891      94.311      137.0       144.0       101.498     45.993      -146.0      -138.5      -46.5       37.115      90.338      186.508     62.0        137.0       150.5       176.49      101.498     29.422      2.545       lt25
24X24       25.0        /
24X24       28.5        124.62      -151.75     44.386      151.75      44.386      -157.5      -149.5      24.434      55.25       145.5       154.0       68.82       34.199      -158.0      -150.0      -59.0       23.63       52.925      111.729     -57.0       148.5       168.5       112.488     59.562      17.67       1.53        eq25
4X4         2.0         426.537     -19.75      221.622     19.75       221.622     -24.0       -17.0       59.835      334.391     16.0        23.0        362.705     87.038      -26.5       -21.0       -15.0       23.769      164.148     383.354     13.5        19.5        25.0        402.288     233.243     40.545      0.367       eq25
4X4         5.5         376.512     -20.75      187.11      20.75       187.11      -25.0       -18.0       56.088      284.245     17.0        24.0        310.368     77.903      -27.5       -21.5       -16.0       26.511      158.406     330.165     14.5        20.0        26.0        349.377     215.854     40.407      0.563       eq25
4X4         10.0        275.783     -21.75      139.365     21.75       139.365     -26.0       -18.5       46.501      217.287     17.5        25.0        233.667     62.299      -28.0       -22.5       -15.5       27.249      119.24      254.279     14.0        21.0        26.5        262.158     159.53      40.252      0.664       eq25
4X4         15.0        209.64      -22.75      110.319     22.75       110.319     -27.0       -20.0       40.575      159.042     19.0        26.0        172.25      52.944      -30.5       -23.5       -17.5       18.734      95.692      186.486     16.0        23.0        29.0        195.082     105.43      24.7        0.688       eq25
4X4         20.0        149.87      -23.75      81.047      23.75       81.047      -28.5       -20.5       27.986      119.125     19.5        27.5        127.083     35.982      -32.0       -24.5       -15.0       14.012      70.955      143.423     13.5        23.0        30.5        145.285     91.023      17.855      0.59        eq25
4X4         25.0        108.45      -25.75      50.518      25.75       50.518      -30.0       -22.0       19.524      82.987      21.0        29.0        89.198      24.725      -32.0       -26.5       -17.0       13.081      43.629      102.084     15.5        25.0        30.5        103.947     57.563      17.467      0.489       eq25
4X4         28.5        87.801      -26.25      42.949      26.25       42.949      -31.0       -23.5       15.449      62.571      22.5        30.0        68.354      19.33       -33.5       -26.0       -20.5       9.82        44.832      76.699      17.5        24.5        32.0        82.793      55.894      12.576      0.446       eq25
7X7         2.0         437.104     -31.75      221.634     31.75       221.634     -36.0       -29.0       64.07       330.515     28.0        35.0        357.986     90.812      -38.5       -33.0       -27.0       28.079      165.977     378.218     25.5        31.5        37.0        397.195     232.866     44.934      0.612       eq25
7X7         5.5         391.43      -33.25      187.964     33.25       187.964     -37.0       -30.0       71.187      295.521     29.0        36.0        318.178     95.433      -40.5       -33.5       -27.0       29.691      178.663     346.915     25.5        32.0        39.0        358.203     233.714     40.582      0.95        eq25
7X7         10.0        292.06      -34.75      146.053     34.75       146.053     -38.5       -32.0       62.006      211.416     31.0        37.5        229.104     79.933      -41.0       -36.0       -29.0       34.938      113.877     252.793     27.5        34.5        39.5        262.611     152.592     48.333      1.228       lt25
7X7         15.0        225.09      -36.75      111.213     36.75       111.213     -41.0       -33.5       45.391      166.541     32.0        40.0        183.712     56.878      -43.0       -37.5       -30.0       30.725      97.142      197.625     28.5        36.0        41.5        203.466     125.323     40.741      1.173       eq25
7X7         20.0        162.65      -38.75      78.799      38.75       78.799      -42.5       -36.0       37.561      112.842     35.0        41.5        122.699     46.266      -45.0       -39.5       -34.0       24.007      69.08       130.648     32.5        38.0        43.5        139.233     88.597      30.804      1.081       lt25
7X7         25.0        118.05      -40.25      60.714      40.25       60.714      -44.5       -36.5       27.704      90.425      35.5        43.5        95.632      33.706      -50.0       -42.0       -16.5       14.031      45.113      115.505     -18.0       40.5        48.5        114.988     58.428      15.66       0.938       lt25
7X7         28.5        96.188      -41.75      47.518      41.25       51.135      -46.5       -37.0       20.311      76.434      37.0        45.5        76.434      24.246      -47.0       -41.0       -20.5       18.681      52.943      93.207      19.0        39.5        45.5        93.645      63.317      24.246      0.87        lt25
