FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
10X10       2.0         424.79      -4.775      19.632      4.775       19.632      -5.2        -4.5        5.816       29.727      4.4         5.1         32.364      8.085       -5.45       -4.9        -4.3        2.848       14.637      34.341      4.15        4.75        5.3         36.247      20.65       4.219       0.863       eq25
10X10       5.5         354.643     -4.975      16.204      4.975       16.204      -5.4        -4.6        5.672       26.155      4.5         5.3         27.785      7.407       -5.65       -5.1        -4.5        3.332       12.39       27.785      4.35        4.95        5.5         29.423      16.985      4.436       1.186       eq25
10X10       10.0        271.383     -5.225      12.514      5.225       12.514      -5.65       -4.85       5.042       19.647      4.75        5.55        20.846      6.293       -5.9        -5.2        -4.65       3.299       13.065      21.734      4.5         5.05        5.75        22.625      16.258      4.135       1.393       eq25
10X10       15.0        224.963     -5.525      10.707      5.525       10.707      -5.95       -5.2        4.864       15.555      5.1         5.85        16.625      5.891       -6.2        -5.55       -5.0        3.326       10.293      17.46       4.85        5.4         6.05        18.331      12.749      4.085       1.549       eq25
10X10       20.0        162.888     -5.775      8.089       5.775       8.089       -6.25       -5.45       3.616       11.367      5.35        6.15        12.076      4.287       -6.5        -5.75       -5.2        2.623       8.376       12.854      5.05        5.6         6.35        13.363      10.009      3.115       1.368       eq25
10X10       25.0        119.7       -6.075      5.759       6.075       5.759       -6.5        -5.75       2.919       8.136       5.65        6.4         8.675       3.427       -6.75       -6.2        -5.35       2.136       4.774       9.686       5.2         6.05        6.6         9.962       5.96        2.529       1.138       eq25
10X10       28.5        97.073      -6.225      4.882       6.225       4.882       -6.6        -5.95       2.744       6.484       5.85        6.5         6.93        3.223       -7.05       -6.3        -5.65       1.633       4.404       7.569       5.5         6.15        6.9         7.875       5.355       1.845       0.984       eq25
15X15       2.0         432.851     -7.175      18.789      7.175       18.789      -7.6        -6.9        6.105       27.646      6.8         7.5         29.909      8.246       -7.85       -7.3        -6.7        3.237       14.286      31.601      6.55        7.15        7.7         33.244      19.7        4.579       1.199       eq25
15X15       5.5         364.146     -7.475      15.505      7.475       15.505      -7.9        -7.2        5.939       22.45       7.1         7.8         24.292      7.545       -8.15       -7.55       -7.0        3.708       13.425      25.7        6.85        7.4         8.0         27.122      17.578      4.772       1.558       eq25
15X15       10.0        283.148     -7.875      11.609      7.875       11.609      -8.25       -7.55       5.6         17.395      7.45        8.15        18.667      6.828       -8.6        -7.95       -7.35       3.455       10.161      19.643      7.2         7.8         8.45        20.659      13.074      4.041       1.769       eq25
15X15       15.0        242.994     -8.325      10.548      8.325       10.548      -8.75       -8.0        5.23        14.96       7.9         8.65        15.937      6.17        -9.1        -8.35       -7.7        3.521       10.172      17.284      7.55        8.2         8.95        17.902      12.406      4.008       2.011       eq25
15X15       20.0        179.325     -8.725      7.988       8.725       7.988       -9.15       -8.4        4.245       11.015      8.3         9.05        11.687      4.92        -9.5        -8.75       -8.2        2.967       7.728       12.212      8.05        8.6         9.35        12.781      9.268       3.341       1.793       eq25
15X15       25.0        132.6       -9.125      6.022       9.125       6.022       -9.6        -8.8        3.155       8.136       8.7         9.5         8.604       3.591       -9.85       -9.1        -8.55       2.483       6.205       9.127       8.4         8.95        9.7         9.48        7.252       2.823       1.504       eq25
15X15       28.5        108.262     -9.425      4.761       9.425       4.761       -9.8        -9.05       2.889       6.689       8.95        9.7         7.047       3.298       -10.25      -9.5        -8.75       1.948       4.331       7.553       8.6         9.35        10.1        7.798       5.192       2.131       1.287       eq25
20X20       2.0         436.474     -9.625      16.899      9.625       16.899      -10.0       -9.3        6.605       26.03       9.2         9.9         27.835      8.732       -10.35      -9.8        -9.1        3.069       11.395      29.13       8.95        9.65        10.2        30.348      16.085      3.964       1.418       eq25
20X20       5.5         371.314     -10.025     14.115      10.025      14.115      -10.4       -9.75       6.343       20.387      9.65        10.3        22.074      7.946       -10.75      -10.05      -9.5        3.59        13.493      23.889      9.35        9.9         10.6        24.982      17.175      4.321       1.778       eq25
20X20       10.0        290.867     -10.525     11.119      10.525      11.119      -10.95      -10.15      5.182       16.83       10.05       10.85       17.801      6.174       -11.2       -10.65      -9.85       3.771       8.982       19.045      9.7         10.5        11.05       19.582      11.557      4.457       1.98        eq25
20X20       15.0        250.086     -11.125     10.002      11.125      10.002      -11.55      -10.8       5.252       13.88       10.7        11.45       14.728      6.103       -11.8       -11.15      -10.6       3.955       9.669       15.389      10.45       11.0        11.65       16.081      11.642      4.603       2.23        eq25
20X20       20.0        186.673     -11.675     7.548       11.675      7.548       -12.15      -11.3       3.99        10.563      11.2        12.05       11.101      4.519       -12.4       -11.75      -11.1       3.195       6.857       11.515      11.05       11.6        12.25       11.682      8.237       3.591       1.981       eq25
20X20       25.0        138.83      -12.225     5.64        12.225      5.64        -12.7       -11.85      3.147       7.762       11.75       12.6        8.15        3.521       -12.95      -12.3       -11.65      2.575       5.158       8.451       11.5        12.15       12.8        8.775       6.122       2.863       1.657       eq25
20X20       28.5        113.764     -12.575     4.701       12.575      4.701       -13.0       -12.25      2.832       6.188       12.15       12.9        6.522       3.18        -13.4       -12.7       -12.15      2.086       4.069       6.522       12.0        12.55       13.25       6.896       4.829       2.267       1.427       eq25
24X24       2.0         441.117     -11.625     16.213      11.625      16.213      -12.0       -11.4       6.578       22.39       11.3        11.9        24.479      8.6         -12.35      -11.8       -11.1       3.171       11.107      27.189      10.95       11.65       12.2        28.241      15.466      4.041       1.564       eq25
24X24       5.5         375.076     -12.125     13.097      12.125      13.097      -12.55      -11.8       5.447       19.688      11.7        12.45       21.069      6.712       -12.85      -12.2       -11.5       3.562       11.404      22.826      11.35       12.05       12.7        23.542      14.802      4.216       1.884       eq25
24X24       10.0        295.427     -12.725     10.419      12.725      10.419      -13.15      -12.35      5.005       15.671      12.25       13.05       16.561      5.907       -13.4       -12.85      -12.15      3.736       8.457       17.215      12.0        12.7        13.25       17.872      10.822      4.348       2.059       eq25
24X24       15.0        256.142     -13.425     9.821       13.425      9.821       -13.9       -13.15      4.969       12.839      13.05       13.8        13.651      5.703       -14.15      -13.4       -12.85      3.875       10.127      14.78       12.7        13.25       14.0        15.284      11.854      4.417       2.333       eq25
24X24       20.0        190.059     -14.125     7.022       14.125      7.022       -14.55      -13.75      4.059       9.783       13.65       14.45       10.28       4.588       -14.85      -14.2       -13.65      3.143       6.399       10.28       13.5        14.05       14.7        10.818      7.646       3.49        2.031       eq25
24X24       25.0        /
24X24       28.5        116.618     -15.225     4.397       15.225      4.397       -15.6       -14.9       2.873       5.759       14.8        15.5        6.067       3.213       -16.0       -15.15      -14.6       2.119       4.741       6.507       14.45       15.0        15.85       6.715       5.389       2.304       1.467       eq25
4X4         2.0         407.165     -1.975      20.339      1.975       20.339      -2.4        -1.7        5.165       31.544      1.6         2.3         34.415      7.61        -2.65       -2.1        -1.4        2.067       14.79       37.931      1.25        1.95        2.5         39.124      21.474      3.474       0.336       eq25
4X4         5.5         325.15      -2.075      15.704      2.075       15.704      -2.5        -1.8        4.483       24.454      1.7         2.4         26.799      6.259       -2.75       -2.2        -1.5        2.204       11.541      29.811      1.35        2.05        2.6         30.911      16.564      3.255       0.492       eq25
4X4         10.0        240.355     -2.175      11.789      2.175       11.789      -2.55       -1.85       4.381       18.894      1.75        2.45        20.383      5.876       -2.8        -2.25       -1.55       2.27        9.985       22.228      1.4         2.1         2.65        22.911      13.612      3.282       0.578       eq25
4X4         15.0        196.342     -2.275      10.265      2.275       10.265      -2.7        -2.0        3.739       14.932      1.9         2.6         16.193      4.876       -3.0        -2.35       -1.8        1.911       8.872       17.163      1.65        2.2         2.85        18.123      11.655      2.565       0.639       eq25
4X4         20.0        140.36      -2.375      7.532       2.375       7.532       -2.8        -2.05       2.903       11.144      1.95        2.7         11.901      3.735       -3.2        -2.45       -1.9        1.323       6.568       12.203      1.75        2.3         3.05        12.856      8.482       1.66        0.554       eq25
4X4         25.0        101.072     -2.525      5.104       2.525       5.104       -2.9        -2.15       2.261       8.061       2.05        2.8         8.585       2.867       -3.25       -2.7        -1.95       1.121       3.603       8.979       1.8         2.55        3.1         9.36        4.881       1.444       0.453       eq25
4X4         28.5        81.816      -2.575      4.297       2.575       4.297       -3.05       -2.25       1.568       6.365       2.15        2.95        6.816       1.966       -3.35       -2.6        -2.05       0.914       4.12        7.16        1.9         2.45        3.2         7.51        5.171       1.154       0.391       eq25
7X7         2.0         416.562     -3.175      21.026      3.175       21.026      -3.6        -2.9        5.903       31.623      2.8         3.5         34.287      8.426       -3.85       -3.3        -2.7        2.581       15.629      36.238      2.55        3.15        3.7         38.037      22.118      4.117       0.575       eq25
7X7         5.5         342.635     -3.325      16.643      3.325       16.643      -3.7        -3.0        6.204       26.184      2.9         3.6         28.127      8.343       -4.05       -3.35       -2.8        2.643       15.805      29.552      2.65        3.2         3.9         30.9        20.749      3.558       0.864       eq25
7X7         10.0        256.975     -3.475      13.001      3.475       13.001      -3.85       -3.15       5.457       19.647      3.05        3.75        21.001      7.051       -4.2        -3.55       -2.95       2.648       11.241      22.0        2.8         3.4         4.05        22.973      14.75       3.406       1.089       eq25
7X7         15.0        212.746     -3.675      10.766      3.675       10.766      -4.1        -3.35       4.421       15.956      3.25        4.0         17.064      5.535       -4.5        -3.75       -3.2        2.323       9.422       17.516      3.05        3.6         4.35        18.514      12.108      2.773       1.092       eq25
7X7         20.0        152.646     -3.875      7.584       3.875       7.584       -4.35       -3.55       2.971       11.244      3.45        4.25        12.056      3.629       -4.6        -4.05       -3.4        2.042       5.494       12.394      3.25        3.9         4.45        13.157      7.273       2.496       1.006       eq25
7X7         25.0        110.815     -4.075      5.407       4.075       5.407       -4.5        -3.65       2.422       8.602       3.55        4.4         9.068       2.935       -4.85       -4.2        -3.65       1.499       4.344       8.602       3.5         4.05        4.7         9.258       5.624       1.76        0.864       lt25
7X7         28.5        89.93       -4.175      4.545       4.175       4.545       -4.6        -3.75       2.101       7.045       3.65        4.5         7.412       2.538       -4.95       -4.2        -3.65       1.293       4.371       7.412       3.5         4.05        4.75        7.798       5.401       1.637       0.763       lt25
