FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
10X10       2.0         439.7       -47.75      205.891     47.75       205.891     -52.0       -45.0       62.892      307.813     44.0        51.0        334.139     86.805      -54.5       -49.0       -43.0       30.714      154.857     353.851     41.5        47.5        53.0        372.925     216.234     45.819      0.903       eq25
10X10       5.5         399.722     -49.75      185.964     49.75       185.964     -54.0       -47.0       67.405      271.751     46.0        53.0        294.93      87.732      -56.5       -49.5       -44.0       38.663      194.505     325.934     42.5        48.0        55.0        338.815     243.52      52.54       1.304       eq25
10X10       10.0        305.011     -52.25      142.708     52.25       142.708     -56.5       -49.5       58.979      203.512     48.5        55.5        220.319     73.535      -59.5       -53.0       -46.5       35.493      124.819     243.475     45.0        51.5        58.0        253.531     160.615     44.018      1.536       eq25
10X10       15.0        242.072     -55.25      110.522     55.25       110.522     -59.0       -51.5       54.951      169.683     50.5        58.0        180.462     66.72       -61.5       -56.0       -48.5       36.696      97.414      194.931     47.0        54.5        60.0        201.403     123.773     45.847      1.614       eq25
10X10       20.0        176.944     -57.75      84.739      57.75       84.739      -61.5       -54.5       44.938      120.711     53.5        60.5        128.818     53.644      -64.5       -58.0       -52.5       29.146      81.682      135.251     51.0        56.5        63.0        142.096     99.809      35.243      1.447       eq25
10X10       25.0        130.564     -60.75      60.996      60.75       60.996      -65.5       -57.0       28.793      90.114      56.0        64.5        95.626      33.491      -69.0       -61.5       -54.0       20.214      54.592      103.357     52.5        60.0        67.5        106.969     67.462      22.727      1.21        eq25
10X10       28.5        106.275     -62.25      51.876      62.25       51.876      -66.5       -58.0       27.11       76.64       57.0        65.5        80.324      31.672      -70.0       -62.5       -57.0       18.104      50.166      80.324      55.5        61.0        68.5        84.299      60.3        20.803      1.047       eq25
15X15       2.0         448.815     -71.75      193.433     71.75       193.433     -76.0       -69.0       63.319      284.943     68.0        75.0        308.525     85.368      -79.5       -72.5       -67.0       28.626      165.456     326.187     65.5        71.0        78.0        343.232     221.139     37.221      1.244       eq25
15X15       5.5         411.091     -74.75      173.065     74.75       173.065     -79.0       -71.5       66.798      261.881     70.5        78.0        280.621     84.862      -81.0       -75.5       -69.0       44.686      150.073     300.276     67.5        74.0        79.5        312.322     196.042     59.645      1.699       eq25
15X15       10.0        319.106     -78.25      140.627     78.25       140.627     -82.5       -75.0       62.945      202.397     74.0        81.5        215.379     76.705      -85.5       -80.0       -73.5       40.222      103.464     220.632     72.0        78.5        84.0        232.351     135.176     48.553      1.971       eq25
15X15       15.0        257.773     -82.25      115.729     82.25       115.729     -87.0       -79.5       53.022      155.79      78.5        86.0        166.765     62.396      -89.5       -84.0       -77.5       39.074      88.183      175.411     76.0        82.5        88.0        184.638     111.722     45.99       2.1         eq25
15X15       20.0        190.665     -86.75      82.189      86.75       82.189      -91.5       -83.0       40.571      119.187     82.0        90.5        125.985     46.615      -94.0       -86.5       -82.0       31.653      84.964      125.985     80.5        85.0        92.5        133.418     101.18      36.077      1.86        eq25
15X15       25.0        141.491     -90.75      62.347      90.75       62.347      -95.5       -87.5       32.517      85.368      86.5        94.5        90.679      36.98       -98.0       -92.5       -83.0       25.732      49.167      101.824     81.5        91.0        96.5        104.255     60.399      29.142      1.564       eq25
15X15       28.5        116.035     -93.75      49.579      93.75       49.58       -97.5       -91.0       29.918      65.856      90.0        96.5        70.709      34.16       -101.0      -94.5       -88.0       21.459      45.001      78.001      86.5        93.0        99.5        81.572      54.226      24.028      1.344       eq25
20X20       2.0         /
20X20       5.5         458.005     -99.75      181.811     99.75       181.811     -104.0      -96.5       74.484      267.281     95.5        103.0       284.876     93.297      -107.0      -101.5      -94.0       44.381      130.246     302.968     92.5        100.0       105.5       313.827     174.23      55.184      2.094       eq25
20X20       10.0        357.113     -104.75     141.978     104.75      141.978     -109.0      -101.5      66.915      202.866     100.5       108.0       215.901     80.207      -112.5      -106.0      -99.5       43.05       115.883     225.865     98.0        104.5       111.0       236.106     147.265     49.744      2.381       eq25
20X20       15.0        267.469     -110.25     108.243     110.25      108.243     -114.5      -107.0      56.364      149.939     106.0       113.5       158.951     65.716      -118.0      -111.5      -105.0      38.871      90.404      165.937     103.5       110.0       116.5       173.254     111.853     43.93       2.33        eq25
20X20       20.0        200.081     -115.75     81.671      115.75      81.671      -120.5      -112.5      42.701      110.551     111.5       119.5       116.921     48.612      -122.0      -116.5      -111.0      36.512      74.209      119.58      109.5       115.0       120.5       125.756     89.094      42.701      2.076       eq25
20X20       25.0        149.345     -121.75     57.933      121.75      57.933      -125.5      -117.0      35.937      86.316      116.0       124.5       89.942      40.644      -129.0      -122.5      -117.0      26.591      52.775      86.316      115.5       121.0       127.5       91.447      63.164      29.407      1.73        eq25
20X20       28.5        122.68      -124.75     51.416      124.75      51.416      -129.5      -121.0      29.111      69.261      120.0       128.5       72.424      32.623      -132.0      -126.5      -119.0      23.531      41.831      74.907      117.5       125.0       130.5       77.623      50.027      26.383      1.505       eq25
24X24       2.0         /
24X24       5.5         460.202     -120.75     165.21      120.75      165.21      -125.0      -117.5      69.955      244.275     116.5       124.0       261.017     86.346      -127.5      -121.0      -115.5      46.638      158.368     273.579     114.0       119.5       126.0       286.159     198.861     57.924      2.253       eq25
24X24       10.0        360.135     -126.75     130.715     126.75      130.715     -131.0      -123.5      63.739      186.486     122.5       130.0       198.652     75.484      -172.0      -127.5      -121.0      15.124      116.448     211.664     119.5       126.0       170.5       219.895     144.988     15.709      2.489       eq25
24X24       15.0        271.128     -133.25     101.883     133.25      101.883     -137.0      -130.5      58.836      134.826     129.5       136.0       143.859     68.281      -140.5      -134.0      -128.5      40.167      92.099      151.051     127.0       132.5       139.0       158.695     111.609     45.72       2.419       eq25
24X24       20.0        203.744     -140.25     73.808      140.25      73.808      -144.0      -136.5      45.179      104.023     135.5       143.0       109.624     51.348      -148.5      -141.0      -134.5      31.461      67.131      113.975     133.0       139.5       147.0       118.599     80.558      34.068      2.124       eq25
24X24       25.0        152.482     -146.25     59.855      146.25      59.855      -152.0      -142.5      31.094      79.771      141.5       151.0       83.233      34.26       -153.5      -148.0      -140.5      27.773      48.936      85.913      139.0       146.5       152.0       88.829      58.276      31.094      1.797       eq25
24X24       28.5        125.458     -151.25     46.701      151.25      46.701      -155.5      -148.0      28.826      61.565      147.0       154.5       65.018      32.094      -159.5      -152.0      13.0        21.88       42.981      124.647     -14.5       150.5       158.0       124.415     50.432      23.571      1.54        eq25
4X4         2.0         422.305     -20.25      200.295     20.25       200.295     -24.0       -17.0       62.412      332.311     16.0        23.0        359.589     89.964      -26.5       -21.0       -15.0       24.917      166.704     379.497     13.5        19.5        25.0        397.991     234.289     42.61       0.375       eq25
4X4         5.5         372.585     -20.75      189.995     20.75       189.995     -25.0       -18.0       59.646      283.108     17.0        24.0        307.839     81.955      -27.5       -21.5       -16.0       28.367      162.048     326.578     14.5        20.0        26.0        344.974     217.808     43.354      0.573       eq25
4X4         10.0        273.392     -21.75      141.893     21.75       141.893     -26.0       -19.0       49.336      207.124     18.0        25.0        224.684     65.538      -29.5       -23.0       -16.0       21.486      109.586     247.932     14.5        21.5        28.0        257.322     148.438     28.987      0.675       eq25
