FS          d_cm        D(0)        p1d1sx      D(p1d1sx)   p1d1dx      D(p1d1dx)   p1d2sx      p2d2sx      D(p1d2sx)   D(p2d2sx)   p1d2dx      p2d2dx      D(p1d2dx)   D(p2d2dx)   p1d3sx      p2d3sx      p3d3sx      D(p1d3sx)   D(p2d3sx)   D(p3d3sx)   p1d3dx      p2d3dx      p3d3dx      D(p1d3dx)   D(p2d3dx)   D(p3d3dx)   D(IP-25)    off25
10X10       2.0         478.86      -4.775      22.205      4.775       22.205      -5.2        -4.5        6.641       33.456      4.4         5.1         36.378      9.22        -5.45       -4.9        -4.2        3.232       16.618      40.092      4.05        4.75        5.3         41.5        23.342      4.82        0.954       eq25
10X10       5.5         457.443     -4.975      20.086      4.975       20.086      -5.35       -4.6        7.88        33.211      4.5         5.25        35.479      10.376      -5.7        -5.05       -4.5        3.676       17.148      35.479      4.35        4.9         5.55        37.777      23.058      4.766       1.427       eq25
10X10       10.0        348.652     -5.175      16.873      5.175       16.873      -5.65       -4.85       6.118       24.829      4.75        5.55        26.49       7.672       -5.9        -5.25       -4.6        3.96        14.775      28.221      4.45        5.1         5.75        29.262      18.954      4.994       1.725       eq25
10X10       15.0        253.795     -5.475      11.9        5.475       11.9        -5.95       -5.15       4.766       17.532      5.05        -5.95       18.769      4.766       -6.2        -5.55       -4.9        3.369       10.473      20.11       4.75        5.4         6.05        20.942      13.332      4.042       1.689       eq25
10X10       20.0        185.645     -5.725      9.079       5.725       9.079       -6.15       -5.4        4.294       12.915      5.3         6.05        13.745      5.156       -6.5        -5.85       -5.2        2.712       7.434       14.387      5.05        5.7         6.35        15.053      9.412       3.158       1.508       eq25
10X10       25.0        137.266     -6.025      6.479       6.025       6.479       -6.45       -5.7        3.194       9.282       -5.7        6.35        9.282       3.771       -6.8        -6.05       -5.5        2.14        6.245       10.424      5.35        5.9         6.65        10.965      7.643       2.439       1.254       eq25
10X10       28.5        111.818     -6.175      5.512       6.175       5.512       -6.7        -5.85       2.409       7.687       5.75        -6.7        8.168       2.409       -6.95       -6.2        -5.65       1.846       5.325       8.547       5.5         6.05        6.8         8.949       6.431       2.125       1.092       eq25
15X15       2.0         486.965     -7.175      21.0        7.175       21.0        -7.6        -6.9        6.728       31.115      6.8         7.5         33.709      9.114       -7.95       -7.25       -6.6        3.036       17.912      36.962      6.45        7.1         7.8         38.206      24.063      3.941       1.314       eq25
15X15       5.5         474.259     -7.425      20.494      7.425       20.494      -7.9        -7.15       6.856       29.538      7.05        7.8         31.974      8.771       -8.05       -7.4        -6.85       5.013       21.404      35.166      6.7         7.25        7.9         36.456      26.575      6.856       1.903       eq25
15X15       10.0        365.024     -7.825      15.165      7.825       15.165      -8.2        -7.45       7.211       23.569      7.35        8.1         25.046      8.871       -8.45       -7.9        -7.15       4.755       13.276      26.942      7.0         7.75        8.3         27.743      17.07       5.959       2.195       eq25
